metric,value,interpretation
priority_public_documentation_dataset_rows,13,Priority and backup waves with public documentation receipt rows.
priority_public_documentation_resource_rows,78,Public documentation or metadata resources attempted or reused.
priority_public_documentation_saved_rows,76,Public documentation resources saved or reused locally.
priority_public_documentation_failed_rows,0,Public documentation resources that failed to fetch.
priority_public_documentation_core_complete_dataset_rows,13,Datasets with all core public documentation resource types saved.
priority_public_documentation_full_complete_dataset_rows,11,Datasets with core public resources plus PDF documentation saved.
priority_public_documentation_optional_pdf_missing_dataset_rows,2,Datasets where the optional PDF documentation resource was not listed or not saved.
priority_public_documentation_access_gate_rows,13,Datasets whose get-microdata page still shows login/register/terms gate language.
priority_public_documentation_saved_bytes,92998600,Total bytes in saved or reused public documentation snapshots.
priority_public_documentation_handoff_readmes_written,13,Per-wave public documentation receipt handoff README files written.
modeling_gate_status,blocked,Public documentation receipt does not satisfy raw value verification or climate-linkage promotion gates.
priority_public_documentation_receipt_status_missing_optional_url,2,Public documentation resource receipt status count.
priority_public_documentation_receipt_status_saved_existing,63,Public documentation resource receipt status count.
priority_public_documentation_receipt_status_saved_existing_access_probe,13,Public documentation resource receipt status count.
priority_public_documentation_resource_type_data_dictionary_html,13,Public documentation resource type count.
priority_public_documentation_resource_type_ddi_metadata,13,Public documentation resource type count.
priority_public_documentation_resource_type_get_microdata_html,13,Public documentation resource type count.
priority_public_documentation_resource_type_json_metadata,13,Public documentation resource type count.
priority_public_documentation_resource_type_pdf_documentation,13,Public documentation resource type count.
priority_public_documentation_resource_type_related_materials_html,13,Public documentation resource type count.
priority_public_documentation_dataset_status_complete_core_public_documentation_receipt_optional_pdf_unlisted_or_missing,2,Dataset-level public documentation receipt status count.
priority_public_documentation_dataset_status_complete_full_public_documentation_receipt,11,Dataset-level public documentation receipt status count.
