constructed_variable_name,formula,inputs_exact_raw_field_names,unit,constructed_from_raw_or_official_component,first_period_constructible,valid_pre_period,valid_post_period,used_as_outcome,used_as_running_variable_component,used_as_treatment_or_exposure,notes,source_evidence
rn_hprd,(Hrs_RNDON + Hrs_RNadmin + Hrs_RN) / MDScensus,Hrs_RNDON; Hrs_RNadmin; Hrs_RN; MDScensus,hours per resident day,constructed from raw PBJ daily fields,2017Q1,yes,yes,yes,yes_as_component_or_outcome,no,Daily/quarterly RN staffing intensity; not resident clinical quality.,PBJ Daily raw headers; PBJ PUF April 2022 technical specifications; project V2/V3 scripts
total_nurse_hprd,(Hrs_RNDON + Hrs_RNadmin + Hrs_RN + Hrs_LPNadmin + Hrs_LPN + Hrs_CNA + Hrs_NAtrn + Hrs_MedAide) / MDScensus,Hrs_RNDON; Hrs_RNadmin; Hrs_RN; Hrs_LPNadmin; Hrs_LPN; Hrs_CNA; Hrs_NAtrn; Hrs_MedAide; MDScensus,hours per resident day,constructed from raw PBJ daily fields,2017Q1,yes,yes,yes,yes_as_component_or_outcome,no,Research-created daily/period HPRD unless using CMS published adjusted ProviderInfo measure.,PBJ Daily raw headers; PBJ PUF April 2022 technical specifications; project V2/V3 scripts
weekend_total_nurse_hprd,sum(total nurse hours on Saturdays/Sundays) / sum(MDScensus on Saturdays/Sundays),WorkDate; nurse-hour fields; MDScensus,hours per resident day,constructed from raw PBJ daily fields; also has reported official ProviderInfo measure after Jan 2022,2017Q1,yes,yes,yes,yes_component_input,no,"Reported weekend total is directly public from Jan 2022, but raw construction is available earlier.",PBJ Daily raw headers; PBJ PUF April 2022 technical specifications; project V2/V3 scripts
weekend_rn_hprd,sum(RN hours on Saturdays/Sundays) / sum(MDScensus on Saturdays/Sundays),WorkDate; Hrs_RNDON; Hrs_RNadmin; Hrs_RN; MDScensus,hours per resident day,constructed from raw PBJ daily fields; also has reported official ProviderInfo measure after Jan 2022,2017Q1,yes,yes,yes,no_not_in_six_component_score,no,"Public transparency measure, but not one of the July six score components.",PBJ Daily raw headers; PBJ PUF April 2022 technical specifications; project V2/V3 scripts
rn_lt8h_day_indicator_share,mean(1[RN hours < 8 and MDScensus > 0]),Hrs_RNDON; Hrs_RNadmin; Hrs_RN; MDScensus,share of days,purely research-created outcome,2017Q1,yes,yes,yes,no,no,Primary staffing reliability outcome; not a clinical quality outcome.,PBJ Daily raw headers; PBJ PUF April 2022 technical specifications; project V2/V3 scripts
zero_rn_day_indicator_share,mean(1[RN hours == 0 and MDScensus > 0]),Hrs_RNDON; Hrs_RNadmin; Hrs_RN; MDScensus,share of days,purely research-created outcome,2017Q1,yes,yes,yes,no,no,Primary reliability/safety staffing measure; treat 2021Q4 carefully.,PBJ Daily raw headers; PBJ PUF April 2022 technical specifications; project V2/V3 scripts
weekend_p10_hprd,10th percentile of weekend total nurse HPRD within facility-period,WorkDate; nurse-hour fields; MDScensus,hours per resident day,purely research-created outcome,2017Q1,yes,yes,yes,no,no,Lower-tail staffing reliability outcome.,PBJ Daily raw headers; PBJ PUF April 2022 technical specifications; project V2/V3 scripts
weekend_p25_hprd,25th percentile of weekend total nurse HPRD within facility-period,WorkDate; nurse-hour fields; MDScensus,hours per resident day,purely research-created outcome,2017Q1,yes,yes,yes,no,no,Lower-tail staffing reliability outcome.,PBJ Daily raw headers; PBJ PUF April 2022 technical specifications; project V2/V3 scripts
worst_weekend_hprd,minimum weekend total nurse HPRD within facility-period,WorkDate; nurse-hour fields; MDScensus,hours per resident day,purely research-created outcome,2017Q1,yes,yes,yes,no,no,Lower-tail staffing reliability outcome; sensitive to extreme reporting days.,PBJ Daily raw headers; PBJ PUF April 2022 technical specifications; project V2/V3 scripts
contract_share,contract nurse hours / total nurse hours,all *_ctr nursing fields; all total nursing hour fields,share,purely research-created staffing mix variable,2017Q1,yes,yes,yes,no,possible_exposure_or_outcome,"Staffing mix/reallocation measure, not a CMS rating component.",PBJ Daily raw headers; PBJ PUF April 2022 technical specifications; project V2/V3 scripts
weekend_share_of_total_hours,weekend nurse hours / all nurse hours in period,WorkDate; nurse-hour fields,share,purely research-created staffing allocation variable,2017Q1,yes,yes,yes,no,possible_exposure_or_outcome,Metric-salience/reallocation outcome.,PBJ Daily raw headers; PBJ PUF April 2022 technical specifications; project V2/V3 scripts
reconstructed_adjusted_weekend_total_nurse_hprd,reported_weekend_total_nurse_hprd * adjusted_total_nurse_hprd / reported_total_nurse_hprd,Total number of nurse staff hours per resident per day on the weekend; Adjusted Total Nurse Staffing Hours per Resident per Day; Reported Total Nurse Staffing Hours per Resident per Day,hours per resident day,reconstructed official-like measure,2022-07-27,no_for_true_pre_jan_public_fields; yes_from_raw PBJ if independently constructed,yes,no,yes_component,no,Used because July adjusted weekend official field is absent; validated against Oct 2022 and Jan 2023 explicit fields.,Five-Star Technical Users' Guide July 2022; Provider Data Catalog field audit; V3 score rescue scripts and emulator validation
reconstructed_staffing_score_0_380,"sum six component points, rescaled to 380 if CMS component missingness rules require",six official staffing components,0-380 points,reconstructed official-like score,2022-07-27,no_old_method_pre_july,yes,no,yes_running_variable,no,Official score not found directly; reconstruction validated to July staffing stars at 0.963.,Five-Star Technical Users' Guide July 2022; Provider Data Catalog field audit; V3 score rescue scripts and emulator validation
staffing_star_threshold_indicators,1[reconstructed_staffing_score >= 155/205/255/320],reconstructed_staffing_score_0_380,binary indicators,project-created threshold exposure from reconstructed official-like score,2022-07-27,no,yes,no,yes_running_variable,yes,Used for RD/RD-DID threshold designs; inherits running-variable limitations.,Five-Star Technical Users' Guide July 2022; Provider Data Catalog field audit; V3 score rescue scripts and emulator validation
formula_induced_overall_star_loss,indicator for losing old four-star staffing bonus under July overall-star rule while holding observed domain ratings fixed,overall_rating; health_inspection_rating; staffing_rating; qm_rating; July and Jan 2022 formula rules,binary indicator,project-created formula-shock exposure,2022-07-27,no,yes,no,no,yes,Mechanism/exposure variable; exclusion requires diagnostics and should not be read as pure randomized treatment.,Five-Star Technical Users' Guide July 2022; Provider Data Catalog field audit; V3 score rescue scripts and emulator validation
