download_priority_order,queue_role,country,wave,idno,requirement,candidate_variable_rows,profiled_variable_rows,variables_with_nonmissing_values,variables_with_value_labels,detected_recall_periods,detected_units_or_scales,possible_missing_code_variables,possible_skip_pattern_variables,value_profile_requirement_status,remaining_manual_review
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,climate_geography,12,12,12,6,,,ea; s1q31a,lga; s1q31b; s1q31d,value_profile_available_not_value_verified,"review questionnaire/codebook for units, recall periods, skip patterns, missing codes, accepted merge level, and outcome construction before promotion"
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_or_income,12,12,12,1,,local_currency_amount_needs_unit_confirmation,ea,,value_profile_available_not_value_verified,"review questionnaire/codebook for units, recall periods, skip patterns, missing codes, accepted merge level, and outcome construction before promotion"
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,health_need_and_access,12,12,12,6,past_4_weeks,month,s4aq3b; s4aq6a; s4aq6b,s4aq16; s4aq17; s4aq3b; s4aq6a; s4aq6b,value_profile_available_not_value_verified,"review questionnaire/codebook for units, recall periods, skip patterns, missing codes, accepted merge level, and outcome construction before promotion"
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,household_person_keys,12,12,12,0,,,,,value_profile_available_not_value_verified,"review questionnaire/codebook for units, recall periods, skip patterns, missing codes, accepted merge level, and outcome construction before promotion"
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,oop_health_expenditure,6,6,6,5,,local_currency_amount_needs_unit_confirmation,s4aq20,s4aq13; s4aq20; s4aq35a; s4aq35b; s4aq35c,value_profile_available_not_value_verified,"review questionnaire/codebook for units, recall periods, skip patterns, missing codes, accepted merge level, and outcome construction before promotion"
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,survey_timing,12,12,12,0,,,,saq14ah; saq14am; saq14bh; saq14bm; saq17ah; saq17am; saq17bh; saq17bm; saq20ah; saq20am; saq20bh; saq20bm,value_profile_available_not_value_verified,"review questionnaire/codebook for units, recall periods, skip patterns, missing codes, accepted merge level, and outcome construction before promotion"
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,weights_and_design,12,12,12,2,,survey_weight,ea,wt_combined; wt_w1_w2_w3; wt_w1_w3; wt_w1v1; wt_w1v2; wt_w2_w3,value_profile_available_not_value_verified,"review questionnaire/codebook for units, recall periods, skip patterns, missing codes, accepted merge level, and outcome construction before promotion"
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,climate_geography,12,12,12,0,,,ag_a04_1; hh_a04_1; lf_a04_1,ag_a04_1; hh_a04_1; lf_a04_1,value_profile_available_not_value_verified,"review questionnaire/codebook for units, recall periods, skip patterns, missing codes, accepted merge level, and outcome construction before promotion"
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,consumption_or_income,12,12,11,4,past_12_months,local_currency_amount_needs_unit_confirmation; month,itemcode,hh_k01; hh_k02; hh_k03; hh_l01; hh_l02; hh_l03,value_profile_available_not_value_verified,"review questionnaire/codebook for units, recall periods, skip patterns, missing codes, accepted merge level, and outcome construction before promotion"
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,health_need_and_access,12,12,12,8,,local_currency_amount_needs_unit_confirmation,ag11_05; costcode; hh_d12_1; hh_d12_2; hh_g03_5,ag11_05; cm_b02; costcode; hh_d02; hh_d12_1; hh_d12_2; hh_d13; hh_d23; hh_g03_5,value_profile_available_not_value_verified,"review questionnaire/codebook for units, recall periods, skip patterns, missing codes, accepted merge level, and outcome construction before promotion"
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,household_person_keys,12,12,12,0,,,,,value_profile_available_not_value_verified,"review questionnaire/codebook for units, recall periods, skip patterns, missing codes, accepted merge level, and outcome construction before promotion"
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,oop_health_expenditure,12,12,12,5,past_4_weeks,local_currency_amount_needs_unit_confirmation; year,hh_d03_1; hh_d03_2; hh_d20,hh_d01; hh_d02; hh_d03_1; hh_d03_2; hh_d05_1; hh_d05_2; hh_d07; hh_d08; hh_d09; hh_d13; hh_d15; hh_d20,value_profile_available_not_value_verified,"review questionnaire/codebook for units, recall periods, skip patterns, missing codes, accepted merge level, and outcome construction before promotion"
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,survey_timing,12,12,12,2,past_12_months,month,,ag12a_07; ag_a12_1; ag_a13; lf_a13,value_profile_available_not_value_verified,"review questionnaire/codebook for units, recall periods, skip patterns, missing codes, accepted merge level, and outcome construction before promotion"
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,weights_and_design,12,12,12,0,,survey_weight,ag_a04_1; cm_g_weight2; hh_a04_1; id_04; lf_a04_1,ag_a04_1; cm_g_weight; cm_g_weight2; hh_a04_1; lf_a04_1,value_profile_available_not_value_verified,"review questionnaire/codebook for units, recall periods, skip patterns, missing codes, accepted merge level, and outcome construction before promotion"
