metric,value,interpretation
priority_lsms_received_raw_schema_dataset_rows,6,Datasets with complete official-file receipt scanned directly from received raw archives.
priority_lsms_received_raw_schema_file_rows,611,Archive members attempted for schema extraction.
priority_lsms_received_raw_schema_readable_file_rows,559,Archive members readable by pyreadstat metadata scan.
priority_lsms_received_raw_schema_failed_file_rows,52,Archive members that could not be read for metadata.
priority_lsms_received_raw_schema_variable_rows,17061,Raw schema variable rows extracted without persisting raw microdata.
priority_lsms_received_raw_requirement_candidate_rows,518,Metadata candidate variables checked against readable raw schemas.
priority_lsms_received_raw_requirement_candidate_present_rows,434,Candidate variables present in the received raw schemas.
priority_lsms_received_raw_schema_handoff_readmes_written,6,Per-dataset raw schema audit handoff readmes written under temp/raw_downloads.
priority_lsms_received_raw_schema_data_write_status,blocked_schema_evidence_only,Schema evidence does not write analysis-ready data.
modeling_gate_status,blocked,Models remain blocked until promoted registry thresholds pass.
priority_lsms_received_raw_schema_status_missing_from_readable_raw_schema,84,Candidate variable schema evidence status count.
priority_lsms_received_raw_schema_status_raw_schema_variable_present_needs_unit_skip_review,434,Candidate variable schema evidence status count.
priority_lsms_received_raw_schema_requirement_present_climate_geography,62,Present raw-schema candidate variable count by requirement.
priority_lsms_received_raw_schema_requirement_present_consumption_or_income,53,Present raw-schema candidate variable count by requirement.
priority_lsms_received_raw_schema_requirement_present_health_need_and_access,69,Present raw-schema candidate variable count by requirement.
priority_lsms_received_raw_schema_requirement_present_household_person_keys,70,Present raw-schema candidate variable count by requirement.
priority_lsms_received_raw_schema_requirement_present_oop_health_expenditure,46,Present raw-schema candidate variable count by requirement.
priority_lsms_received_raw_schema_requirement_present_survey_timing,69,Present raw-schema candidate variable count by requirement.
priority_lsms_received_raw_schema_requirement_present_weights_and_design,65,Present raw-schema candidate variable count by requirement.
