download_priority_order,queue_role,country,wave,idno,requirement,candidate_variable_rows,strong_candidate_variable_rows,candidate_file_rows,top_file_names,coverage_status,raw_value_verification_status,promotion_guardrail
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,12,12,11,sect1_hh_w5.dta;sect12b1_hh_w5.dta;sect1_pp_w5.dta;sect1_ph_w5.dta;sect2_pp_w5.dta;sect3_pp_w5.dta;sect4_pp_w5.dta;sect6c_hh_w5.dta;sect2_hh_w5.dta;sect3_hh_w5.dta,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_design,12,12,11,sect_cover_hh_w5.dta;sect6b2_hh_w5.dta;sect6b3_hh_w5.dta;sect6b4_hh_w5.dta;sect6c_hh_w5.dta;sect7a_hh_w5.dta;sect7b_hh_w5.dta;sect8_hh_w5.dta;sect9_hh_w5.dta;sect10a_hh_w5.dta,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,consumption_or_income,12,12,1,cons_agg_w5.dta,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,oop_health_expenditure,12,12,2,sect8_3_ls_w5.dta;sect3_hh_w5.dta,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,health_need_and_access,12,9,3,sect04_com_w5.dta;sect3_hh_w5.dta;sect3_pp_w5.dta,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,12,8,10,sect_cover_pp_w5.dta;sect_cover_ph_w5.dta;sect_cover_ls_w5.dta;sect12b1_hh_w5.dta;eth_householdgeovariables_y5.dta;sect_cover_hh_w5.dta;eth_plotgeovariables_y5.dta;sect7b_hh_w5.dta;sect10a_hh_w5.dta;sect12e_hh_w5.dta,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,12,12,6,sect_cover_hh_w5.dta;sect10a_com_w5.dta;sect_cover_pp_w5.dta;sect_cover_ph_w5.dta;sect_cover_ls_w5.dta;sect3_pp_w5.dta,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,missing_codes_units_recall_skip_patterns,0,0,0,,documentation_and_raw_review_required_no_variable_shortlist,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,household_person_keys,12,12,10,sect1_hh_w4.dta;sect11b1_hh_w4.dta;sect10d1_hh_w4.dta;sect1_ph_w4.dta;sect1_pp_w4.dta;sect10b_hh_w4.dta;sect2_pp_w4.dta;sect3_pp_w4.dta;sect4_pp_w4.dta;sect5_pp_w4.dta,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,weights_and_design,12,12,12,sect_cover_hh_w4.dta;sect_cover_ph_w4.dta;sect_cover_pp_w4.dta;sect6b2_hh_w4.dta;sect7a_hh_w4.dta;sect9_hh_w4.dta;sect1_hh_w4.dta;sect10d1_hh_w4.dta;sect10d2_hh_w4.dta;sect12b1_hh_w4.dta,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
