metric,value,interpretation
priority_lsms_received_raw_semantics_dataset_rows,5,Datasets with received raw semantics review evidence.
priority_lsms_received_raw_semantics_variable_rows,988,Variable-level semantics review rows from value and utility profiles.
priority_lsms_received_raw_semantics_ddi_documented_variable_rows,0,Profiled variables matched to official DDI documentation.
priority_lsms_received_raw_semantics_requirement_rows,40,Requirement-level semantics review rows.
priority_lsms_received_raw_semantics_documentation_scope_rows,6,Study-level documentation scope rows.
priority_lsms_received_raw_semantics_missing_codes_units_recall_skip_requirement_rows,5,Documentation-semantics gate rows now backed by review evidence.
priority_lsms_received_raw_semantics_raw_value_verified_rows,0,Semantics review does not value-verify any country-wave.
priority_lsms_received_raw_semantics_data_write_status,blocked_semantics_review_only,Semantics review evidence does not write promoted analysis data.
modeling_gate_status,blocked,Models remain blocked until promoted registry thresholds and climate linkage pass.
priority_lsms_received_raw_semantics_status_missing_ddi_documentation_for_profiled_variable,988,Variable-level semantics review status count.
priority_lsms_received_raw_semantics_requirement_status_semantics_review_available_not_value_verified,40,Requirement-level semantics review status count.
priority_lsms_received_raw_semantics_handoff_readmes_written,5,Per-dataset semantics review handoffs written.
