download_rank,country,wave,idno,requirement_review_order,requirement,requirement_role,candidate_variable_rows,candidate_file_rows,acceptance_core_file_rows,acceptance_core_missing_file_rows,required_checks,acceptance_rule,current_verification_status,minimum_batch_review_status,promotion_effect_if_passed,fill_raw_file_or_archive_member_used,fill_raw_variables_verified,fill_value_label_pass,fill_unit_or_recall_pass,fill_missing_code_pass,fill_skip_pattern_pass,fill_merge_key_or_level_pass,fill_accept_requirement,review_notes,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,12,11,8,8,confirm household/person IDs; module key cardinality; duplicate keys; household-person join path; panel/wave IDs where relevant,"At least one household key and all needed person/module keys are raw-value verified, unique at the expected level, and joinable across required files.",blocked_no_original_package,blocked_until_official_raw_package_received,unblocks household/person merge key gate,,,,,,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,12,11,8,8,confirm household/person weights; PSU/cluster; strata; sample domains; positive/nonmissing weight distribution; documentation source,Weights and design variables are raw-value verified and documented well enough for descriptive and model-weight sensitivity checks.,blocked_no_original_package,blocked_until_official_raw_package_received,unblocks weighted prevalence and survey-design gate,,,,,,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,3,consumption_or_income,financial_denominator_gate,12,1,1,1,confirm total consumption or income aggregate; currency; period; household level; zero/missing semantics; survey-team aggregate preference,"A household-level total consumption/income denominator is verified with unit, period, and missing semantics.",blocked_no_original_package,blocked_until_official_raw_package_received,unblocks CHE10/CHE25 denominator review,,,,,,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,4,oop_health_expenditure,financial_outcome_gate,12,2,2,2,confirm OOP health expenditure variables; payer scope; service/drug categories; recall periods; zero vs missing; aggregation policy,OOP health spending inputs are raw-value verified with recall period and aggregation policy documented.,blocked_no_original_package,blocked_until_official_raw_package_received,unblocks financial-protection outcome construction review,,,,,,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,5,health_need_and_access,access_outcome_gate,12,3,3,3,confirm illness/need denominator; care sought; care not sought; cost/distance/supply barriers; skip pattern; person vs household level,"Need/access variables are raw-value verified with denominator, skip pattern, and barrier coding documented.",blocked_no_original_package,blocked_until_official_raw_package_received,unblocks forgone-care and double-failure outcome review,,,,,,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6,survey_timing,climate_timing_gate,12,10,8,8,confirm interview date/month/year or fieldwork window; visit/season module; valid ranges; missing dates; usable lag-window anchor,"Survey timing is verified at month or date resolution, or a defensible fieldwork window is documented.",blocked_no_original_package,blocked_until_official_raw_package_received,unblocks climate exposure lag-window construction,,,,,,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,7,climate_geography,climate_geography_gate,12,6,6,6,confirm GPS/cluster/EA/admin variables; coordinate quality; displacement/suppression; admin codes; rural/urban; boundary crosswalk path,"A geography route is raw-value verified and can support point, cluster, EA, or admin climate linkage with quality caveats.",blocked_no_original_package,blocked_until_official_raw_package_received,unblocks CHIRPS/ERA5 linkage route review,,,,,,,,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,8,missing_codes_units_recall_skip_patterns,documentation_semantics_gate,0,0,,,confirm value labels; missing/refused/don't-know codes; skip universes; units; recall periods; valid ranges; questionnaire text,"Critical variables have documented missing codes, units, recall periods, and skip patterns from raw metadata and questionnaires.",blocked_no_original_package,blocked_until_official_raw_package_received,unblocks final raw-value promotion decision,,,,,,,,,,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,1,household_person_keys,merge_key_gate,12,10,8,8,confirm household/person IDs; module key cardinality; duplicate keys; household-person join path; panel/wave IDs where relevant,"At least one household key and all needed person/module keys are raw-value verified, unique at the expected level, and joinable across required files.",blocked_no_original_package,blocked_until_official_raw_package_received,unblocks household/person merge key gate,,,,,,,,,,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,2,weights_and_design,survey_design_gate,12,12,8,8,confirm household/person weights; PSU/cluster; strata; sample domains; positive/nonmissing weight distribution; documentation source,Weights and design variables are raw-value verified and documented well enough for descriptive and model-weight sensitivity checks.,blocked_no_original_package,blocked_until_official_raw_package_received,unblocks weighted prevalence and survey-design gate,,,,,,,,,,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3,consumption_or_income,financial_denominator_gate,12,2,2,2,confirm total consumption or income aggregate; currency; period; household level; zero/missing semantics; survey-team aggregate preference,"A household-level total consumption/income denominator is verified with unit, period, and missing semantics.",blocked_no_original_package,blocked_until_official_raw_package_received,unblocks CHE10/CHE25 denominator review,,,,,,,,,,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,4,oop_health_expenditure,financial_outcome_gate,12,2,2,2,confirm OOP health expenditure variables; payer scope; service/drug categories; recall periods; zero vs missing; aggregation policy,OOP health spending inputs are raw-value verified with recall period and aggregation policy documented.,blocked_no_original_package,blocked_until_official_raw_package_received,unblocks financial-protection outcome construction review,,,,,,,,,,blocked_no_data_write,blocked
