acquisition_batch_rank,batch_role,campaign_phase,threshold_role,country,wave,idno,requirement_id,concept,review_rank_within_wave,review_rank_within_requirement_concept,candidate_files,candidate_raw_variable,candidate_harmonized_variables,raw_label,metadata_confidence,confidence_reason,required_for,is_financial_core,is_double_failure_core,is_design_core,raw_receipt_status,receipt_original_file_count,current_concept_gate,raw_file_status,raw_variable_status,verification_status,first_pass_review_status,post_download_review_action
1,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_merge_keys,household_id,1,1,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,household_id,hhid,Unique Household Identifier,high,explicit household identifier evidence,harmonization,0,0,1,not_received_no_original_raw_package,0,blocked_raw_file_missing,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_raw_package_not_received,"After complete original package receipt, inspect the listed file and variable for labels, values, missing and skip codes, units, recall period, merge level, and denominator semantics; then fill the verification templates and rerun the gates."
1,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_merge_keys,household_id,2,2,sect10_ph_w5.dta;sect10a_hh_w5.dta;sect11_hh_w5.dta;sect11_ph_w5.dta;sect12a_hh_w5.dta;sect12b1_hh_w5.dta;sect12b2_hh_w5.dta;sect12c_hh_w5.dta;sect12c_q1_hh_w5.dta;sect12d_hh_w5.dta;sect12e_hh_w5.dta;sect12f_hh_w5.dta;sect13_hh_w5.dta;sect14_hh_w5.dta;sect15a_hh_w5.dta;sect15b_hh_w5.dta;sect1_hh_w5.dta;sect1_ph_w5.dta;sect1_pp_w5.dta;sect2_hh_w5.dta,saq08,hhid,Household ID,high,explicit household identifier evidence,harmonization,0,0,1,not_received_no_original_raw_package,0,blocked_raw_file_missing,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_raw_package_not_received,"After complete original package receipt, inspect the listed file and variable for labels, values, missing and skip codes, units, recall period, merge level, and denominator semantics; then fill the verification templates and rerun the gates."
1,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_merge_keys,demographics,3,1,cons_agg_w5.dta,educ_cons_ann,education,annual expenditure on education (including assistance),high,explicit education evidence,covariates_and_subgroups,0,0,0,not_received_no_original_raw_package,0,blocked_raw_file_missing,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_raw_package_not_received,"After complete original package receipt, inspect the listed file and variable for labels, values, missing and skip codes, units, recall period, merge level, and denominator semantics; then fill the verification templates and rerun the gates."
1,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_merge_keys,demographics,4,2,cons_agg_w5.dta,hh_size,household_size,Household Size,high,explicit household-size evidence,covariates_and_subgroups,0,0,0,not_received_no_original_raw_package,0,blocked_raw_file_missing,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_raw_package_not_received,"After complete original package receipt, inspect the listed file and variable for labels, values, missing and skip codes, units, recall period, merge level, and denominator semantics; then fill the verification templates and rerun the gates."
1,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_survey_design,survey_weight,5,1,cons_agg_w5.dta;sect10_ph_w5.dta;sect10a_hh_w5.dta;sect11_hh_w5.dta;sect11_ph_w5.dta;sect12a_hh_w5.dta;sect12b1_hh_w5.dta;sect12b2_hh_w5.dta;sect12c_hh_w5.dta;sect12c_q1_hh_w5.dta;sect12d_hh_w5.dta;sect12e_hh_w5.dta;sect12f_hh_w5.dta;sect13_hh_w5.dta;sect14_hh_w5.dta;sect15a_hh_w5.dta;sect15b_hh_w5.dta;sect1_hh_w5.dta;sect1_ph_w5.dta;sect1_pp_w5.dta,pw_w5,household_weight_or_person_weight,Household survey weight (Wave 5);household sample weight,high,explicit survey weight evidence,main_financial_sample,1,0,1,not_received_no_original_raw_package,0,blocked_raw_file_missing,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_raw_package_not_received,"After complete original package receipt, inspect the listed file and variable for labels, values, missing and skip codes, units, recall period, merge level, and denominator semantics; then fill the verification templates and rerun the gates."
1,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_survey_design,survey_weight,6,2,sect10b_com_w5.dta,cs10bq04,household_weight_or_person_weight,WEIGHT/ AMOUNT,high,explicit survey weight evidence,main_financial_sample,1,0,1,not_received_no_original_raw_package,0,blocked_raw_file_missing,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_raw_package_not_received,"After complete original package receipt, inspect the listed file and variable for labels, values, missing and skip codes, units, recall period, merge level, and denominator semantics; then fill the verification templates and rerun the gates."
1,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_survey_design,psu_cluster,7,1,cons_agg_w5.dta;sect01a_com_w5.dta;sect01b_com_w5.dta;sect02_com_w5.dta;sect03_com_w5.dta;sect04_com_w5.dta;sect05_com_w5.dta;sect06_com_w5.dta;sect07_com_w5.dta;sect08_com_w5.dta;sect09_com_w5.dta;sect10_ph_w5.dta;sect10a_com_w5.dta;sect10a_hh_w5.dta;sect10b_com_w5.dta;sect11_com_w5.dta;sect11_hh_w5.dta;sect11_ph_w5.dta;sect12_com_w5.dta;sect12a_hh_w5.dta,ea_id,psu_or_cluster_id,Unique Enumeration Area Indentifier,high,explicit PSU/cluster evidence,survey_design_robustness,0,0,1,not_received_no_original_raw_package,0,blocked_raw_file_missing,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_raw_package_not_received,"After complete original package receipt, inspect the listed file and variable for labels, values, missing and skip codes, units, recall period, merge level, and denominator semantics; then fill the verification templates and rerun the gates."
1,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_survey_design,psu_cluster,8,2,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,pct_urban_cluster,admin1_or_admin2;rural;psu_or_cluster_id,Percent of anonymizing region classified as urban cluster in Degree of Urbanizat,high,explicit administrative geography or cluster evidence;explicit rural/urban residence evidence;explicit PSU/cluster evidence,survey_design_robustness,0,0,1,not_received_no_original_raw_package,0,blocked_raw_file_missing,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_raw_package_not_received,"After complete original package receipt, inspect the listed file and variable for labels, values, missing and skip codes, units, recall period, merge level, and denominator semantics; then fill the verification templates and rerun the gates."
1,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_survey_design,strata,9,1,sect8_3_ls_w5.dta,ls_s8_3q01,strata;agriculture_livelihood,"1.In the last 12 months, any breeding strategy practiced for [LIVESTOCK TYPE]?",high,explicit strata evidence;agriculture/livelihood evidence; moderator role requires raw data,survey_design_robustness,0,0,1,not_received_no_original_raw_package,0,blocked_raw_file_missing,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_raw_package_not_received,"After complete original package receipt, inspect the listed file and variable for labels, values, missing and skip codes, units, recall period, merge level, and denominator semantics; then fill the verification templates and rerun the gates."
1,priority_10_wave_batch,phase_1_double_failure_10_wave_base,required_for_10_country_wave_double_failure_threshold,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_survey_design,strata,10,2,sect8_3_ls_w5.dta,ls_s8_3q02,strata;agriculture_livelihood,2.What was main breeding strategy used for [LIVESTOCK TYPE]?,high,explicit strata evidence;agriculture/livelihood evidence; moderator role requires raw data,survey_design_robustness,0,0,1,not_received_no_original_raw_package,0,blocked_raw_file_missing,raw_files_not_present,raw_variable_catalog_absent,raw_not_inspected,blocked_raw_package_not_received,"After complete original package receipt, inspect the listed file and variable for labels, values, missing and skip codes, units, recall period, merge level, and denominator semantics; then fill the verification templates and rerun the gates."
