metric,value,interpretation
priority_lsms_credentialed_workbench_dataset_rows,19,Refocused LSMS/ISA datasets covered by credentialed acquisition workbench.
priority_lsms_credentialed_workbench_full_file_rows,1597,Official DDI file-description rows carried into full-file download review.
priority_lsms_credentialed_workbench_core_file_rows,629,Requirement/file rows to confirm after official raw download.
priority_lsms_credentialed_workbench_access_gate_rows,19,"Datasets whose get-microdata page shows account, registration, terms, or request language."
priority_lsms_credentialed_workbench_package_received_rows,1,Datasets with at least one original non-generated package or documentation file already present.
priority_lsms_credentialed_workbench_targets_missing_before_download,592,Core requirement/file rows still missing before credentialed download.
priority_lsms_credentialed_workbench_handoff_readmes_written,19,Per-wave credentialed acquisition workbench handoffs written.
priority_lsms_credentialed_workbench_data_write_status,blocked_no_promoted_rows,Credentialed acquisition workbench does not permit data/ writes.
modeling_gate_status,blocked,Models remain blocked until raw-backed promotion thresholds and accepted climate linkage pass.
priority_lsms_credentialed_workbench_queue_role_core_replacement_primary,2,Dataset count by refocused queue role.
priority_lsms_credentialed_workbench_queue_role_core_selected_lsms_isa_aligned,8,Dataset count by refocused queue role.
priority_lsms_credentialed_workbench_queue_role_replacement_backup_wave,6,Dataset count by refocused queue role.
priority_lsms_credentialed_workbench_queue_role_sixth_country_backup_candidate,3,Dataset count by refocused queue role.
priority_lsms_credentialed_workbench_status_ready_for_credentialed_manual_download,19,Credentialed acquisition status count.
