download_priority_order,queue_role,country,wave,idno,requirement,semantics_variable_rows,raw_profile_variable_rows,utility_profile_variable_rows,ddi_documented_variable_rows,variables_with_categories,variables_with_valid_ranges,documentation_recall_periods,documentation_units_or_scales,documentation_missing_code_variables,documentation_skip_pattern_variables,documentation_level_evidence,study_level_evidence,semantics_requirement_status,remaining_manual_review
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,climate_geography,122,12,110,0,0,0,,,ea; s1q31a,ea; lga; s1q31a; s1q31b; s1q31c; s1q31d,geography_linkage_candidate_not_coordinates,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_or_income,12,12,0,0,0,0,,money_amount_local_currency_needs_malawi_kwacha_confirmation,ea,,,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,health_need_and_access,12,12,0,0,0,0,past_4_weeks,money_amount_local_currency_needs_malawi_kwacha_confirmation; month,s4aq3b; s4aq6a; s4aq6b,s4aq16; s4aq17; s4aq3b; s4aq6a; s4aq6b,,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,household_person_keys,104,12,92,0,0,0,,,,,requires_secondary_member_or_item_key; unique_at_file_level,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,missing_codes_units_recall_skip_patterns,280,78,202,0,0,0,past_4_weeks,money_amount_local_currency_needs_malawi_kwacha_confirmation; month; survey_weight,ea; s1q31a; s4aq20; s4aq3b; s4aq6a; s4aq6b,ea; lga; s1q31a; s1q31b; s1q31c; s1q31d; s4aq13; s4aq16; s4aq17; s4aq20; s4aq35a; s4aq35b; s4aq35c; s4aq3b; s4aq6a; s4aq6b; saq14ah; saq14am; saq14bh; saq14bm; saq17ah; saq17am; saq17bh; saq17bm; saq20ah; saq20am; saq20bh; saq20bm; wt_combined; wt_w1_w2_w3; wt_w1_w3; wt_w1v1; wt_w1v2; wt_w2_w3,geography_linkage_candidate_not_coordinates; requires_secondary_member_or_item_key; unique_at_file_level,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,oop_health_expenditure,6,6,0,0,0,0,,money_amount_local_currency_needs_malawi_kwacha_confirmation,s4aq20,s4aq13; s4aq20; s4aq35a; s4aq35b; s4aq35c,,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,survey_timing,12,12,0,0,0,0,,,,saq14ah; saq14am; saq14bh; saq14bm; saq17ah; saq17am; saq17bh; saq17bm; saq20ah; saq20am; saq20bh; saq20bm,,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,weights_and_design,12,12,0,0,0,0,,survey_weight,ea,wt_combined; wt_w1_w2_w3; wt_w1_w3; wt_w1v1; wt_w1v2; wt_w2_w3,,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,climate_geography,11,6,5,0,0,0,,unit_variable,ea,,geography_linkage_candidate_not_coordinates,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,consumption_or_income,4,4,0,0,0,0,,money_amount_local_currency_needs_malawi_kwacha_confirmation; year,itemcode,hh_l01_2; hh_l02,,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
