metric,value,interpretation
country_wave,MWI_2004_IHS-II_v01_M,Country-wave covered by this access/person-key resolution policy.
access_resolution_status,access_person_keys_and_cost_barrier_forgone_care_verified_with_documented_exclusions,Final access/person-key resolution decision for the stated cost-barrier forgone-care scope.
person_key_policy_final_verified_for_access,1,Whether person-key exceptions are accepted for the stated access outcome scope.
health_access_final_verified,1,Whether acute need and cost-barrier forgone care are raw-value verified under the documented exclusion policy.
access_forgone_care_inputs_ready,1,Whether Malawi 2004 can be counted as access/forgone-care ready for the stated cost-barrier outcome.
analytic_roster_matched_health_rows,51286,sec_d rows matched to the individual roster.
health_person_unmatched_to_roster,6,Health-module person keys excluded from the access universe; raw IDs not exported.
roster_person_unmatched_to_health,2,Roster person keys with no health-module observation; no access outcome is imputed.
nonroster_d04_yes_rows,0,Nonroster health rows with acute illness/injury need.
nonroster_no_money_rows,0,Nonroster health rows with no-money access action.
acute_need_denominator_rows,14143,Roster-matched d04==Yes rows.
cost_barrier_forgone_care_rows,631,"Roster-matched acute-need rows with any no-money no-action label, counted once."
all_health_cost_barrier_rows,631,All sec_d d04==Yes rows with no-money label; used to show exclusions do not change the no-money count.
d07a_d07b_skip_exception_rows,6,Nonmissing d07a/d07b values outside d04==Yes under the roster-matched universe.
d07a_d07b_skip_exception_no_money_rows,0,Skip-exception rows carrying the no-money value; must be zero for accepted exclusion.
d07a_skip_exception_labels,5=Sought treatment at gvt health fac.; 6=Sought treatment at church/mission facility; 9=Went to local grocery for medicine,Aggregate value-label evidence for excluded d07a skip exceptions.
formal_care_core_rows,5130,Government/private facility care rows among acute-need universe.
formal_care_extended_rows,5593,Government/private/church/mission care rows among acute-need universe.
label_manual_review_rows,88,Health/access label rows still requiring review outside the promoted cost-barrier rule.
data_write_gate_status,closed,This policy verifies an input requirement but does not write promoted data.
