download_priority_order,queue_role,country,wave,idno,requirement,candidate_rank,variable_name,variable_label,file_id,file_name,file_description,match_score,matched_terms,match_basis,official_metadata_status,raw_value_verification_status,promotion_guardrail
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,1,individual_id,Household member ID,F2,sect1_hh_w5.dta,Household Data - Roster,37,individual id;member id;roster;individual_id;member;file:roster;file:household,file;label;name;phrase,official_public_metadata_candidate,not_raw_value_verified,"metadata candidate only; verify raw values, labels, units, recall periods, missing codes, skip patterns, merge keys, and survey design before promotion"
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,2,household_id,Unique Household Indentifier,F2,sect1_hh_w5.dta,Household Data - Roster,33,household id;unique household;roster;household_id;file:roster;file:household,file;name;phrase,official_public_metadata_candidate,not_raw_value_verified,"metadata candidate only; verify raw values, labels, units, recall periods, missing codes, skip patterns, merge keys, and survey design before promotion"
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,3,household_id,Unique Household Indentifier,F21,sect12b1_hh_w5.dta,Household Data - Nonfarm enterprises roster,33,household id;unique household;roster;household_id;file:roster;file:household,file;name;phrase,official_public_metadata_candidate,not_raw_value_verified,"metadata candidate only; verify raw values, labels, units, recall periods, missing codes, skip patterns, merge keys, and survey design before promotion"
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,4,household_id,Unique Household Indentifier,F47,sect1_pp_w5.dta,Post-planting - Household roster,33,household id;unique household;roster;household_id;file:roster;file:household,file;name;phrase,official_public_metadata_candidate,not_raw_value_verified,"metadata candidate only; verify raw values, labels, units, recall periods, missing codes, skip patterns, merge keys, and survey design before promotion"
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,5,household_id,Unique Household Indentifier,F55,sect1_ph_w5.dta,Post-harvest - Household roster,33,household id;unique household;roster;household_id;file:roster;file:household,file;name;phrase,official_public_metadata_candidate,not_raw_value_verified,"metadata candidate only; verify raw values, labels, units, recall periods, missing codes, skip patterns, merge keys, and survey design before promotion"
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,6,household_id,Unique Household Indentifier,F48,sect2_pp_w5.dta,Post-planting - Parcel roster,31,household id;unique household;roster;household_id;file:roster,file;name;phrase,official_public_metadata_candidate,not_raw_value_verified,"metadata candidate only; verify raw values, labels, units, recall periods, missing codes, skip patterns, merge keys, and survey design before promotion"
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,7,household_id,Unique Household Indentifier,F49,sect3_pp_w5.dta,Post-planting - Field roster,31,household id;unique household;roster;household_id;file:roster,file;name;phrase,official_public_metadata_candidate,not_raw_value_verified,"metadata candidate only; verify raw values, labels, units, recall periods, missing codes, skip patterns, merge keys, and survey design before promotion"
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,8,household_id,Unique Household Indentifier,F50,sect4_pp_w5.dta,Post-planting - Crop field roster,31,household id;unique household;roster;household_id;file:roster,file;name;phrase,official_public_metadata_candidate,not_raw_value_verified,"metadata candidate only; verify raw values, labels, units, recall periods, missing codes, skip patterns, merge keys, and survey design before promotion"
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,9,individual_id,Household member ID,F13,sect6c_hh_w5.dta,Household Data - Dietary quality,28,individual id;member id;individual_id;member;file:household,file;label;name;phrase,official_public_metadata_candidate,not_raw_value_verified,"metadata candidate only; verify raw values, labels, units, recall periods, missing codes, skip patterns, merge keys, and survey design before promotion"
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,10,individual_id,Household member ID,F3,sect2_hh_w5.dta,Household Data - Education,28,individual id;member id;individual_id;member;file:household,file;label;name;phrase,official_public_metadata_candidate,not_raw_value_verified,"metadata candidate only; verify raw values, labels, units, recall periods, missing codes, skip patterns, merge keys, and survey design before promotion"
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,11,individual_id,Household member ID,F4,sect3_hh_w5.dta,Household Data - Health,28,individual id;member id;individual_id;member;file:household,file;label;name;phrase,official_public_metadata_candidate,not_raw_value_verified,"metadata candidate only; verify raw values, labels, units, recall periods, missing codes, skip patterns, merge keys, and survey design before promotion"
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,12,individual_id,Household member ID,F5,sect3b_hh_w5.dta,Household Data - COVID-19,28,individual id;member id;individual_id;member;file:household,file;label;name;phrase,official_public_metadata_candidate,not_raw_value_verified,"metadata candidate only; verify raw values, labels, units, recall periods, missing codes, skip patterns, merge keys, and survey design before promotion"
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_design,1,pw_w5,household sample weight,F1,sect_cover_hh_w5.dta,Household Data - Cover page,33,sample weight;weight;pw_;file:cover;file:household,file;label;name;phrase,official_public_metadata_candidate,not_raw_value_verified,"metadata candidate only; verify raw values, labels, units, recall periods, missing codes, skip patterns, merge keys, and survey design before promotion"
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_design,2,ea_id,Unique Enumeration Area Indentifier,F1,sect_cover_hh_w5.dta,Household Data - Cover page,31,enumeration area;ea_id;ea;enumeration;file:cover;file:household,file;label;name;phrase,official_public_metadata_candidate,not_raw_value_verified,"metadata candidate only; verify raw values, labels, units, recall periods, missing codes, skip patterns, merge keys, and survey design before promotion"
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_design,3,pw_w5,household sample weight,F10,sect6b2_hh_w5.dta,Household Data - Food shared by non-household members (Filter Question),31,sample weight;weight;pw_;file:household,file;label;name;phrase,official_public_metadata_candidate,not_raw_value_verified,"metadata candidate only; verify raw values, labels, units, recall periods, missing codes, skip patterns, merge keys, and survey design before promotion"
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_design,4,pw_w5,household sample weight,F11,sect6b3_hh_w5.dta,Household Data - Food shared by non-household members,31,sample weight;weight;pw_;file:household,file;label;name;phrase,official_public_metadata_candidate,not_raw_value_verified,"metadata candidate only; verify raw values, labels, units, recall periods, missing codes, skip patterns, merge keys, and survey design before promotion"
