metric,value,interpretation
alb2005_harmonization_value_decision_rows,43,Rows in the ALB_2005 harmonization value decision audit.
alb2005_harmonization_value_decision_required_rows,16,Gate rows marked required for the minimum recipe.
alb2005_harmonization_value_decision_recommended_rows,21,Gate rows marked recommended but not minimum requirements.
alb2005_harmonization_value_decision_optional_rows,6,Gate rows marked optional or not required.
alb2005_harmonization_value_decision_recipe_ready_rows,0,Rows promoted to a verified harmonization recipe by this decision audit.
alb2005_harmonization_value_decision_required_blocked_rows,16,Required rows that remain blocked after source-derived ALB_2005 review.
alb2005_harmonization_value_decision_manual_future_candidate_rows,4,"Rows that may become recipe candidates only after manual key, unit, period, or design review."
alb2005_harmonization_value_decision_false_positive_rows,2,Rows explicitly blocked because current gate candidates include known false positives.
alb2005_harmonization_value_decision_timing_geography_hard_blocker_rows,10,Rows blocked by missing interview timing or insufficient geography/GPS evidence.
alb2005_harmonization_value_decision_current_decision,blocked_no_alb2005_value_decision_ready_for_recipe,Fail-closed decision for ALB_2005 value interpretation and recipe promotion.
alb2005_documented_evidence_rows_used,44,Rows read from the documented ALB_2005 harmonization review.
alb2005_household_core_recipe_ready_rows_observed,0,Recipe-ready rows observed in the temp-only household-core audit.
alb2005_provisional_outcome_ready_rows_observed,0,Outcome-ready rows observed in the provisional outcome audit.
alb2005_outcome_semantics_outcome_ready_rows_observed,0,Outcome-ready rows observed in the raw semantics audit.
alb2005_outcome_semantics_sdg382_ready_rows_observed,0,SDG 3.8.2-ready rows observed in the raw semantics audit.
alb2005_timing_geography_climate_linkage_ready_rows_observed,0,Climate-linkage-ready rows observed in the ALB_2005 timing/geography audit.
alb2005_legacy_questionnaire_verified_timing_rows_observed,0,ALB_2005 raw household interview timing rows observed by the legacy questionnaire timing audit.
alb2005_harmonization_value_decision_concept_care_or_barrier,6,ALB_2005 value-decision rows by concept.
alb2005_harmonization_value_decision_concept_climate_geography,7,ALB_2005 value-decision rows by concept.
alb2005_harmonization_value_decision_concept_demographics,9,ALB_2005 value-decision rows by concept.
alb2005_harmonization_value_decision_concept_health_need,1,ALB_2005 value-decision rows by concept.
alb2005_harmonization_value_decision_concept_household_id,1,ALB_2005 value-decision rows by concept.
alb2005_harmonization_value_decision_concept_insurance,1,ALB_2005 value-decision rows by concept.
alb2005_harmonization_value_decision_concept_oop_health_expenditure,1,ALB_2005 value-decision rows by concept.
alb2005_harmonization_value_decision_concept_psu_cluster,2,ALB_2005 value-decision rows by concept.
alb2005_harmonization_value_decision_concept_shocks_or_livelihood,5,ALB_2005 value-decision rows by concept.
alb2005_harmonization_value_decision_concept_strata,1,ALB_2005 value-decision rows by concept.
alb2005_harmonization_value_decision_concept_survey_timing,3,ALB_2005 value-decision rows by concept.
alb2005_harmonization_value_decision_concept_survey_weight,2,ALB_2005 value-decision rows by concept.
alb2005_harmonization_value_decision_concept_total_consumption_or_income,4,ALB_2005 value-decision rows by concept.
alb2005_harmonization_value_decision_role_optional_not_minimum_recipe,6,ALB_2005 value-decision rows by minimum recipe role.
alb2005_harmonization_value_decision_role_recommended_quality_or_design_item,21,ALB_2005 value-decision rows by minimum recipe role.
alb2005_harmonization_value_decision_role_required_hard_blocker,16,ALB_2005 value-decision rows by minimum recipe role.
alb2005_harmonization_value_decision_status_blocked_access_denominator_skip_patterns,6,ALB_2005 value-decision rows by decision status.
alb2005_harmonization_value_decision_status_blocked_component_scope_not_verified,2,ALB_2005 value-decision rows by decision status.
alb2005_harmonization_value_decision_status_blocked_false_positive_birth_weight_no_person_weight_ready,1,ALB_2005 value-decision rows by decision status.
alb2005_harmonization_value_decision_status_blocked_false_positive_gate_candidate_weight_retro_requires_design_review,1,ALB_2005 value-decision rows by decision status.
alb2005_harmonization_value_decision_status_blocked_income_variable_not_verified,1,ALB_2005 value-decision rows by decision status.
alb2005_harmonization_value_decision_status_blocked_missing_interview_timing,3,ALB_2005 value-decision rows by decision status.
alb2005_harmonization_value_decision_status_blocked_need_denominator_skip_patterns,1,ALB_2005 value-decision rows by decision status.
alb2005_harmonization_value_decision_status_blocked_oop_aggregation_recall_skip_patterns,1,ALB_2005 value-decision rows by decision status.
alb2005_harmonization_value_decision_status_blocked_partial_geography_no_gps_or_timing,7,ALB_2005 value-decision rows by decision status.
alb2005_harmonization_value_decision_status_candidate_for_manual_cluster_design_review_not_climate_linkage,2,ALB_2005 value-decision rows by decision status.
alb2005_harmonization_value_decision_status_candidate_for_manual_key_review_not_recipe_ready,1,ALB_2005 value-decision rows by decision status.
alb2005_harmonization_value_decision_status_candidate_for_manual_unit_period_review_not_recipe_ready,1,ALB_2005 value-decision rows by decision status.
alb2005_harmonization_value_decision_status_optional_absent_not_minimum_recipe_blocker,1,ALB_2005 value-decision rows by decision status.
alb2005_harmonization_value_decision_status_optional_mechanism_covariate_review_not_minimum_recipe,5,ALB_2005 value-decision rows by decision status.
alb2005_harmonization_value_decision_status_recommended_absent_not_minimum_recipe_blocker,1,ALB_2005 value-decision rows by decision status.
alb2005_harmonization_value_decision_status_recommended_demographics_absent_not_minimum_recipe_blocker,9,ALB_2005 value-decision rows by decision status.
