issue_id,severity,layer,status,finding,affected_scope,required_action,evidence
RAW_REMOTE_IDENTITY,none,raw_archive,pass,All 50 canonical modern CSV ZIPs match the current official remote files byte for byte.,"2018-2025 primary, annual replicate, longitudinal, longitudinal replicate",Retain manifests and rerun remote comparison after future Census updates.,data/sample_audits/sipp_remote_byte_comparison_20260716.csv
PUBLIC_USE_V11_CORRECTION,high,official_release_version,mitigated_and_panel_verified,Census replaced 2018-2021 public-use files with v1.1 on 2025-07-24 after correcting TSSSAMT and dependent income/poverty recodes.,2018-2021,Keep using the current raw archive; rerun the alignment check if Census changes these files again.,data/metadata/sipp_release_version_ledger_2018_2025.csv|data/sample_audits/sipp_v11_correction_panel_alignment.csv
MONTHLY_HEALTH_INSURANCE_PROCESSING_ERROR,high,official_known_issue,mitigated_with_additive_patch,"Census documents begin/end-month processing errors affecting edited monthly Medicare, Medicaid, other-coverage, and downstream health-insurance recodes in the 2018-2023 files.",19625 unique affected person-month rows in the current selected panel; original official values remain unchanged,Use the additive correction patch for health-insurance analyses and retain the unmodified panel for provenance and sensitivity checks.,data/analysis_ready/sipp_2018_2023_health_insurance_official_usernote_correction_patch.parquet|data/sample_audits/sipp_health_insurance_usernote_correction_counts.csv
HEALTH_NOTE_PRIVATE_RECODE_FORMULA_CONFLICT,high,official_documentation,open_documentation_inconsistency,"The Census web correction table prints EHEMPLY{1:2}=1 when rebuilding RPRIMTH, but the data dictionary defines EHEMPLY as a multi-category source code and the literal formula contradicts observed raw recodes and the note's stated affected-record scale.",RPRIMTH and downstream RHLTHMTH correction interpretation for 2018-2023,"Use the documented begin/end logic with monthly plan indicators EPR1MTH/EPR2MTH, disclose the interpretation, and retain original-versus-corrected sensitivity results.",report/107_arpa400_raw_data_quality_sensitivity.md|data/sample_audits/sipp_health_insurance_usernote_correction_counts.csv
TSSSAMT_FALSE_WEIGHT_FALLBACK,critical,analysis_code_not_raw_data,fixed_in_source_results_require_regeneration,"Thirty-five idea-screen scripts formerly used TSSSAMT, a Social Security income amount, as a fallback when WPFINWGT was nonpositive; all matching source instances were removed on 2026-07-16.",0 scripts still match the invalid pattern; 13628 panel rows have nonpositive WPFINWGT; 987 would have received a positive false weight under the old code,Regenerate any historical idea-screen output used in a paper; nonpositive official weights are now missing and excluded by model masks.,script/01_ingest/10_arpa400_raw_data_quality_sensitivity.py|report/107_arpa400_raw_data_quality_sensitivity.md
REPLICATE_VARIANCE_NOT_USED,high,analysis_variance,open,Official guidance requires matching replicate weights for accurate standard errors and variances; screening regressions generally do not use Fay BRR replicates.,Existing model screens unless a script explicitly implements REPWGT1-REPWGT240,"For final inference, implement the matching annual or longitudinal Fay BRR design and report sensitivity to clustering choices.",data/metadata/sipp_weight_product_use_ledger.csv
ANNUAL_WEIGHT_MONTH_RESTRICTION,high,analysis_weight_selection,open_for_review,"Official annual estimates use WPFINWGT on MONTHCODE=12; monthly estimates use the target month, while multi-year estimates use FINYR2/3/4.",Any pooled person-month or annual estimate that treats all 12 monthly rows as independent annual observations,"Define the estimand first, then select the official weight and row restriction from the weight ledger.",temp/source_metadata/census_sipp/common/Select_weights_2018_SIPP_JUN24.pdf
2025_RESPONSE_AND_LONGITUDINAL_ATTRITION,high,sampling_and_nonresponse,official_weights_adjust_but_residual_risk_remains,"The 2025 source-and-accuracy statement reports a 42.63% cross-sectional weighted household response rate and declining longitudinal person response rates of 61.67%, 42.42%, and 25.75% for FINYR2, FINYR3, and FINYR4.","2025 cross-sectional estimates and especially 2-, 3-, and 4-year longitudinal cohorts","Use the official weights and replicate weights, report cohort attrition, and test whether conclusions change across longitudinal horizons and complete-case restrictions.",data/metadata/sipp_2025_response_and_attrition_summary.csv|temp/source_metadata/census_sipp/2025/SIPP-2025-SA.pdf
LEGACY_ARCHIVE_NOT_LOCAL,scope,archive_completeness,explicitly_not_downloaded,"The local complete archive covers the 2018+ annual redesign products, not all 1984-2014 panel/wave raw payloads.","1984-1993, 1996, 2001, 2004, 2008, 2014 panel archives",Download legacy raw payloads only if the research question needs historical panel/wave data.,data/metadata/sipp_legacy_official_archive_scope.csv
LANDING_PAGE_LAG,medium,official_navigation,confirmed,"Census navigation updates are asynchronous: the datasets landing page now lists 2025, while users-guide, source/accuracy, and complete-technical-documentation navigation still stop at 2024 even though direct 2025 technical files exist.",Source discovery and automated freshness checks,Audit direct www2.census.gov directories in addition to narrative landing pages.,data/metadata/sipp_live_official_channel_reaudit_20260716.csv
