candidate_row_id,acquisition_batch_rank,batch_role,country,wave,idno,concept,required_for,candidate_files,candidate_raw_variable,candidate_harmonized_variables,template_raw_label,metadata_confidence,ddi_match_status,ddi_match_count,ddi_file_ids,ddi_file_names,ddi_file_descriptions,ddi_variable_names,ddi_variable_labels,ddi_interval,ddi_format_types,ddi_valid_counts,ddi_invalid_counts,ddi_min_values,ddi_max_values,ddi_range_units,ddi_category_count,ddi_category_preview,official_metadata_evidence_status,raw_value_verification_status,promotion_guardrail
1,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,sect04_com_w5.dta,cs4q28,reason_not_sought_distance,28. Distance to the nearest place where one can purchase common medicines,high,ddi_variable_and_file_match,1,F36,sect04_com_w5.dta,Community - Access to basic services and infrastructure,cs4q28,28. Distance to the nearest place where one can purchase common medicines,discrete,numeric,91,342,0,40,REAL,24,0= (n=28); 1= (n=9); 2= (n=5); 3= (n=21); 4= (n=1); ... +19 more,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
2,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,sect04_com_w5.dta,cs4q30,reason_not_sought_distance,30. What is the distance to the nearest place where there is a health post?,high,ddi_variable_and_file_match,1,F36,sect04_com_w5.dta,Community - Access to basic services and infrastructure,cs4q30,30. What is the distance to the nearest place where there is a health post?,discrete,numeric,24,409,0,110,REAL,13,0= (n=5); 1= (n=2); 2= (n=2); 3= (n=3); 7= (n=2); ... +8 more,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
3,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,sect04_com_w5.dta,cs4q37,care_sought;reason_not_sought_distance,37. Distance to the nearest hospital/health facility with a medical doctor,high,ddi_variable_and_file_match,1,F36,sect04_com_w5.dta,Community - Access to basic services and infrastructure,cs4q37,37. Distance to the nearest hospital/health facility with a medical doctor,discrete,numeric,180,253,0,160,REAL,45,0= (n=13); 1= (n=11); 2= (n=5); 3= (n=19); 4= (n=5); ... +40 more,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
4,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,sect3_hh_w5.dta,s3q10a,care_sought;illness_or_injury_need,10a.Where did [NAME] consultation take place for first illness,high,ddi_variable_and_file_match,1,F4,sect3_hh_w5.dta,Household Data - Health,s3q10a,10a.Where did [NAME] consultation take place for first illness,discrete,numeric,2713,19975,1,8,REAL,9,1=1. HOSPITAL (n=698); 2=2. HEALTH CENTER (n=1115); 3=3. HEALTH POST (n=108); 4=4. CLINICS (n=501); 5=5. PHARMACY (n=187); ... +4 more,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
5,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,sect3_hh_w5.dta,s3q10b,care_sought;illness_or_injury_need,10b. Where did [NAME] consultation take place for second illness,high,ddi_variable_and_file_match,1,F4,sect3_hh_w5.dta,Household Data - Health,s3q10b,10b. Where did [NAME] consultation take place for second illness,discrete,numeric,452,22236,1,7,REAL,9,1=1. HOSPITAL (n=126); 2=2. HEALTH CENTER (n=179); 3=3. HEALTH POST (n=21); 4=4. CLINICS (n=87); 5=5. PHARMACY (n=33); ... +4 more,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
6,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,sect3_hh_w5.dta,s3q11,care_sought,11.How much did [NAME] pay for the first consultation,high,ddi_variable_and_file_match,1,F4,sect3_hh_w5.dta,Household Data - Health,s3q11,11.How much did [NAME] pay for the first consultation,discrete,numeric,2713,19975,0,975000,REAL,2,0=0. NONE (n=556); Sysmiss= (n=19975),official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
7,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,sect3_hh_w5.dta,s3q12a,care_sought;reason_not_sought_distance,12a.How long did [NAME]'s first consultation take including travel time_Hours,high,ddi_variable_and_file_match,1,F4,sect3_hh_w5.dta,Household Data - Health,s3q12a,12a.How long did [NAME]'s first consultation take including travel time_Hours,discrete,numeric,2672,20016,0,72,REAL,24,0=0. NO HOURS (n=1789); 1= (n=508); 2= (n=210); 3= (n=65); 4= (n=21); ... +19 more,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
8,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,sect3_hh_w5.dta,s3q12b,care_sought;reason_not_sought_distance,12b.How long did [NAME]'s first consultation take including travel time_Minutes,high,ddi_variable_and_file_match,1,F4,sect3_hh_w5.dta,Household Data - Health,s3q12b,12b.How long did [NAME]'s first consultation take including travel time_Minutes,discrete,numeric,2672,20016,0,60,REAL,29,0=0. NO MINUTES (n=481); 1= (n=8); 2= (n=17); 3= (n=20); 4= (n=6); ... +24 more,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
9,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,sect3_hh_w5.dta,s3q13,care_not_sought_reason,13. Main reason for [NAME] not consulting a healthcare provider,high,ddi_variable_and_file_match,1,F4,sect3_hh_w5.dta,Household Data - Health,s3q13,13. Main reason for [NAME] not consulting a healthcare provider,discrete,numeric,75,22613,1,8,REAL,9,1=1. LACK OF MONEY (n=38); 2=2. EXPENSIVE (n=1); 3=3. TOO FAR (n=14); 4=4. DO NOT BELIEVE IN MEDICINE (n=5); 5=5. LACK OF HEALTH PROFESSIONAL (n=2); ... +4 more,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
10,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,sect3_hh_w5.dta;sect3_pp_w5.dta,s3q16,care_sought;agriculture_livelihood,16. Were any of [NAME]'s consultations inpatient visits;16.Is [FIELD] under Extension Program during the current agricultural season?,high,ddi_variable_and_file_match,2,F4;F49,sect3_hh_w5.dta;sect3_pp_w5.dta,Household Data - Health;Post-planting - Field roster,s3q16,16. Were any of [NAME]'s consultations inpatient visits;16.Is [FIELD] under Extension Program during the current agricultural season?,discrete,numeric,7054;10572,15634;4306,1,2,REAL,6,1=1. YES (n=799); 2=2. NO (n=6255); Sysmiss= (n=15634); 1=1. YES (n=1639); 2=2. NO (n=8933); ... +1 more,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
