requirement_id,objective_section,requirement,status,evidence,evidence_artifacts,gap
workspace_structure,workspace,"Create exact climate_uhc_ml directory structure with data, script, result, report, and temp.",satisfied,all required directories exist,data;script;result;report;temp,
required_reports,workspace,Maintain required human-readable reports.,satisfied,core required report files present=8/8,report/README.md;report/source_audit.md;report/data_dictionary.md;report/outcome_construction.md;report/climate_linkage_audit.md;report/identification_audit.md;report/modeling_report.md;report/final_report.md,
required_temp_files,workspace,Maintain required temp/source/audit files.,satisfied,required temp files present=6/6,temp/source_inventory.csv;temp/country_wave_screening.csv;temp/manual_download_manifest.csv;temp/audit_log.md;temp/iteration_notes.md;temp/rejected_designs.md,
phase0_official_sources,phase0,Verify official WHO/UNSD financial-protection and climate-health rationale before causal claims.,satisfied,source_inventory rows=141; source_audit exists=True,report/source_audit.md;temp/source_inventory.csv,
phase1_country_wave_inventory,phase1,Build the widest feasible public country-wave inventory before final country selection.,satisfied,country_wave_screening rows=1088; sample gate rows=1088; raw-final candidates=0,temp/country_wave_screening.csv;result/sample_selection_gate_audit.csv;report/sample_selection_audit.md,
phase2_manual_access_manifest,phase2,"Download direct public data where feasible, create manual-download manifests for gated data, and do not fabricate unavailable files.",satisfied,manual manifest rows=37; action rows=22; intake targets=37; expected files=1615; minimum acquisition targets=35; raw-like files present=4,temp/manual_download_manifest.csv;temp/manual_access_action_queue.csv;temp/raw_download_intake_manifest.csv;temp/raw_download_expected_files.csv;result/minimum_viable_acquisition_targets.csv;report/manual_data_access_guide.md;report/raw_data_request_packet.md;report/raw_download_intake_plan.md;report/minimum_viable_acquisition_plan.md,
phase2_public_external_raw_downloads,phase2,"Download directly accessible public external raw archives when screened candidate links resolve without login, registration, or terms bypass.",satisfied,candidate rows=4; downloaded/existing rows=4; datasets=4; summary rows=5,temp/public_external_raw_candidate_downloads.csv;result/public_external_raw_candidate_download_summary.csv;report/public_external_raw_candidate_downloads.md,
phase2_raw_file_inspection,phase2,"Inspect raw files with schema extraction, checksums, row/column counts, and preserved labels.",satisfied,raw file inventory rows=209; raw variable rows=5410; raw-like targets=1; intake ready targets=1; expected files not present=1547,temp/raw_schema_inventory/raw_file_inventory.csv;temp/raw_schema_inventory/raw_variable_catalog.csv;temp/raw_download_intake_manifest.csv;temp/raw_download_expected_files.csv;report/raw_download_audit.md,
phase3_variable_maps,phase3,"Create variable maps for consumption, health expenditure, health need/access, geography, survey design, demographics, and shocks.",satisfied,variable-map rows=25358; variable-confidence rows=25358; verification protocol rows=2571; raw variable rows=5410,temp/variable_map_consumption.csv;temp/variable_map_health_expenditure.csv;temp/variable_map_health_need_access.csv;temp/variable_map_geography.csv;temp/variable_map_survey_design.csv;temp/variable_map_demographics.csv;temp/variable_map_shocks.csv;temp/variable_map_confidence_audit.csv;temp/raw_variable_verification_protocol.csv;report/raw_variable_verification_protocol.md,
phase3_raw_variable_verification_protocol,phase3,Pre-specify raw-variable verification checks and harmonization scaffold before any analysis-ready data are built.,satisfied,protocol rows=2571; scaffold rows=1204; value-audit-pending rows=0; raw-not-inspected rows=2571,temp/raw_variable_verification_protocol.csv;temp/harmonization_recipe_scaffold.csv;result/raw_variable_verification_summary.csv;report/raw_variable_verification_protocol.md,
phase3_harmonization_recipe_gate,phase3,"Promote metadata scaffold rows to harmonization recipe candidates only after raw file, raw variable, and value/unit/recall/key audits pass.",satisfied,gate rows=1204; value-audit template rows=7153; verified candidates=0; readiness rows=28; ready country-waves=0,temp/harmonization_recipe_gate.csv;temp/harmonization_value_audit_template.csv;temp/harmonization_recipe_verified_candidates.csv;result/harmonization_readiness_matrix.csv;result/harmonization_recipe_gate_summary.csv;report/harmonization_recipe_gate.md,
cross_phase_analysis_dataset_promotion_barrier_audit,phase3_phase5,"Reconcile the general harmonization gate, Albania-specific top-candidate gates, and data/ outputs before promoting any analysis-ready dataset.",satisfied,audit rows=6; summary rows=92; blocked rows=2; promoted rows=4; data files=4; verified recipe candidates=0; ready country-waves=0; ALB_2002 temp core rows=3599; limited core rows=3599; limited financial rows=3599; limited climate rows=384; limited linked rows=14396; limited linked analysis-ready=0; ALB_2002 harmonized ready=0; ALB_2002 outcome ready=0; ALB_2002 climate ready=0; decision=limited_core_financial_outcomes_climate_exposures_and_linked_diagnostics_promoted_models_still_blocked,temp/analysis_dataset_promotion_barrier_audit.csv;result/analysis_dataset_promotion_barrier_summary.csv;report/analysis_dataset_promotion_barriers.md;data/harmonized_household.csv;data/household_outcomes.csv;data/climate_exposures_nasa_power.csv;data/climate_linked_household.csv,
phase3_harmonization,phase3,Build harmonized household/person analytical data only after schema inspection.,satisfied,harmonized household rows=3599; harmonization audit rows=5; raw verified concepts=13; scaffold rows=1204; verified recipe candidates=0,data/harmonized_household.csv;temp/harmonization_audit.csv;temp/raw_ingestion_plan.csv;temp/harmonization_recipe_scaffold.csv;temp/harmonization_recipe_verified_candidates.csv,
phase4_outcome_construction,phase4,"Construct and audit financial-protection, access, and composite UHC outcomes with event rates and missingness.",satisfied,household outcome rows=3599; constructed outcome-audit rows=4; outcome plan rows=476,data/household_outcomes.csv;result/outcome_audit.csv;temp/outcome_denominator_plan.csv;report/outcome_denominator_plan.md,
phase4_sdg382_denominator_audit,phase4,"Pre-specify the SDG 3.8.2 discretionary-budget denominator, SPL, PPP/CPI, and benchmark checks before construction.",satisfied,requirement rows=207; source rows=18; country-wave rows=23; ready rows=0; blocked rows=23,temp/sdg382_denominator_requirements.csv;result/sdg382_denominator_source_matrix.csv;result/sdg382_denominator_country_wave_readiness.csv;result/sdg382_denominator_summary.csv;report/sdg382_denominator_audit_plan.md,
phase5_climate_sources,phase5,Verify climate source endpoints and pre-specify exposure families and windows.,satisfied,climate source probe rows=9; reachable/pass=9; exposure plan rows=28; spec rows=28; validation protocol rows=9,temp/climate_source_probe.csv;temp/climate_exposure_plan.csv;result/climate_exposure_specification.csv;result/climate_exposure_validation_protocol.csv;report/climate_exposure_plan.md;report/climate_validation_protocol.md,
phase5_climate_validation_protocol,phase5,"Pre-specify climate linkage validation for timing, geolocation quality, units, baselines, maps, and source comparisons.",satisfied,requirement rows=253; source rows=9; validation rows=9; readiness rows=23; ready rows=0; blocked rows=23,temp/climate_linkage_requirements.csv;result/climate_source_method_matrix.csv;result/climate_exposure_validation_protocol.csv;result/climate_linkage_readiness.csv;result/climate_validation_protocol_summary.csv;report/climate_validation_protocol.md,
phase5_climate_extraction,phase5,Construct climate exposures from verified geography and survey timing and audit linkage quality.,satisfied,climate exposure rows=384; climate audit rows=3; climate-linked rows=14396,data/climate_exposures_nasa_power.csv;temp/climate_extraction_audit.csv;data/climate_linked_household.csv,
phase6_descriptive,phase6,"Produce weighted prevalence, missingness, sample flow, and country-wave feasibility diagnostics before causal modeling.",satisfied,prevalence rows=2; missingness rows=21; sample-flow rows=3,result/descriptive_weighted_prevalence.csv;result/descriptive_missingness.csv;result/sample_inclusion_flow.csv,
phase7_predictive_ml,phase7,Estimate and validate predictive ML with non-random validation splits before targeting claims.,satisfied,predictive audit rows=2; metric rows=30; modeling predictive-ready rows=0,result/predictive_ml_audit.csv;result/predictive_ml_metrics.csv;result/modeling_validation_plan.csv,
phase8_reduced_form,phase8,"Estimate reduced-form climate-shock models only after timing, geography, controls, and placebo readiness are auditable.",satisfied,causal-model audit rows=2; estimate rows=88; reduced-form ready rows=0,result/causal_model_audit.csv;result/reduced_form_estimates.csv;result/falsification_placebo_plan.csv,
phase9_causal_ml,phase9,Allow causal ML only after credible reduced-form identification; otherwise reject explicitly.,satisfied,causal ML policy audit rows=1; rejected rows=1; causal-ML-ready rows=0,result/causal_ml_policy_audit.csv;temp/modeling_identification_plan.csv;result/policy_learning_plan.csv,
phase10_policy_learning,phase10,"Evaluate policy targeting only after validated prediction or credible treatment-effect evidence, with benefit sensitivity.",blocked_raw_microdata,policy-learning plan rows=40; policy-ready rows=0,result/policy_learning_plan.csv;result/policy_targeting_simulation.csv;report/modeling_identification_plan.md,requires reduced-form identification and validation gates before policy-value simulation
phase11_mechanisms,phase11,"Test mechanisms only where income, food insecurity, health need, OOP, coping, or related modules exist.",satisfied,mechanism requirement rows=1449; pathway rows=7; readiness rows=161; ready rows=0; blocked rows=161; raw variable rows=5410,temp/mechanism_variable_requirements.csv;result/mechanism_pathway_protocol.csv;result/mechanism_readiness_matrix.csv;result/mechanism_analysis_protocol_summary.csv;report/mechanism_analysis_protocol.md,
phase12_robustness,phase12,Attempt robustness and falsification checks after a primary reduced-form estimate exists.,satisfied,robustness result rows=18; attempted rows=4; falsification plan rows=12,result/robustness_results.csv;result/falsification_placebo_plan.csv;result/robustness_audit.csv,
phase13_design_scorecard,phase13,Create design scorecard and enforce go/no-go rules.,satisfied,design scorecard rows=38; failed no-go rules=3; raw-final candidates=0,result/design_scorecard.csv;result/sample_selection_gate_summary.csv;report/sample_selection_audit.md,
phase13_current_design_scorecard_no_go_audit,phase13,Refresh the current design scorecard from ALB_2002 linked-candidate diagnostics and keep estimation/policy-learning claims no-go until promoted data exist.,satisfied,scorecard rows=38; current audit rows=4; threshold rows=8; summary rows=7; current rows=3; failed/not-estimable rows=8; data-write-ready rows=0; decision=fail_closed_design_scorecard_currently_no_go_for_estimation_or_policy_learning,result/design_scorecard.csv;result/design_scorecard_current_audit.csv;result/design_no_go_threshold_audit.csv;result/design_scorecard_current_summary.csv;report/design_scorecard_audit.md,
cross_phase_alb2002_promotion_gate_delta_audit,phase13,"Separate ALB_2002 evidence-rich promotion gates from hard blockers before any harmonized, outcome, climate, or linked data write.",satisfied,audit rows=10; summary rows=7; review-ready rows=2; documented-candidate rows=6; hard-blocked rows=4; promotion-ready rows=0; data-write-ready rows=0; decision=partial_gate_delta_documented_keep_data_empty_until_outcome_sdg_geography_gates_pass,temp/alb2002_promotion_gate_delta_audit.csv;result/alb2002_promotion_gate_delta_summary.csv;report/alb2002_promotion_gate_delta_audit.md,
cross_phase_alb2002_boundary_blocker_resolution_matrix,phase5,Consolidate ALB_2002 boundary-source evidence before any climate-linkage promotion or admin-level exposure construction.,satisfied,matrix rows=11; summary rows=10; official leads=4; candidate-name-coverage rows=3; incompatible/negative rows=4; historical-ready rows=0; climate-ready rows=0; data-write-ready rows=0; hard-blocked rows=11; source-action rows=7; decision=blocked_no_alb2002_boundary_source_ready_for_climate_linkage,temp/alb2002_boundary_blocker_resolution_matrix.csv;result/alb2002_boundary_blocker_resolution_summary.csv;report/alb2002_boundary_blocker_resolution_matrix.md,
phase4_alb2002_outcome_blocker_resolution_matrix,phase4,"Consolidate ALB_2002 financial, access, composite, and SDG outcome candidates before any final outcome write.",satisfied,matrix rows=12; summary rows=12; financial rows=4; access rows=5; composite rows=3; candidate-not-promoted rows=11; low-event rows=1; hard-blocked rows=1; outcome-ready rows=0; sdg382-ready rows=0; climate-ready rows=0; data-write-ready rows=0; decision=blocked_no_alb2002_outcome_ready_for_promotion,temp/alb2002_outcome_blocker_resolution_matrix.csv;result/alb2002_outcome_blocker_resolution_summary.csv;report/alb2002_outcome_blocker_resolution_matrix.md,
cross_phase_alb2012_timing_geography_fallback_blocker,phase5,"Consolidate ALB_2012 timing, geography, outcome, and first-analysis fallback evidence before substituting it for ALB_2002.",satisfied,matrix rows=10; summary rows=12; timing rows=3; geography rows=3; outcome rows=2; promotion-gate rows=2; hard-blocked rows=10; interview-timing-ready rows=0; geography-ready rows=0; outcome-ready rows=0; climate-ready rows=0; data-write-ready rows=0; decision=blocked_alb2012_no_timing_geography_fallback_ready,temp/alb2012_timing_geography_blocker_resolution_matrix.csv;result/alb2012_timing_geography_blocker_resolution_summary.csv;report/alb2012_timing_geography_blocker_resolution_matrix.md,
phase13_minimum_viable_acquisition_targets,phase13,Map no-go threshold tests to a practical raw-data acquisition sequence before final sample selection.,satisfied,target rows=35; bundle rows=23; financial-probe rows=6; double-failure-probe rows=10,result/minimum_viable_acquisition_targets.csv;temp/minimum_viable_download_bundles.csv;result/minimum_viable_acquisition_summary.csv;report/minimum_viable_acquisition_plan.md,
cross_phase_empirical_readiness_dashboard,phase13,"Consolidate acquisition, sample, harmonization, outcome, climate, modeling, mechanism, and go/no-go gates before final country selection.",satisfied,dashboard rows=23; no-go rows=8; no-go pass rows=2; no-go blocked rows=6,result/empirical_readiness_dashboard.csv;result/empirical_no_go_threshold_status.csv;result/empirical_readiness_dashboard_summary.csv;report/empirical_readiness_dashboard.md,
cross_phase_first_batch_raw_acquisition,phase13,Define a concrete first manual raw-download batch to test the 6-country financial-protection and 10-wave double-failure no-go thresholds.,satisfied,checklist rows=10; file target rows=183; summary rows=12; raw tabular files present=0; archives present=1,temp/first_batch_raw_acquisition_checklist.csv;temp/first_batch_raw_file_targets.csv;result/first_batch_raw_acquisition_summary.csv;report/first_batch_raw_acquisition_checklist.md,
