metric,value,interpretation
country_wave,MWI_2004_IHS-II_v01_M,Country-wave covered by the SDG 3.8.2 external parameter ledger.
source_capture_date,2026-07-10,Date these official parameter candidates were captured for the project ledger.
parameter_rows,9,External and derived parameter rows in the source ledger.
household_rows_with_internal_sdg382_inputs,11280,Internal Malawi raw rows inherited from the SDG parameter audit.
positive_oop_household_rows,7765,Households with positive OOP in the internal SDG frame.
wdi_ppp_private_consumption_2017,249.104888916,Candidate private consumption PPP from World Bank WDI PA.NUS.PRVT.PP.
wdi_cpi_2004,55.6247640619,Candidate CPI 2004 from World Bank WDI FP.CPI.TOTL.
wdi_cpi_2017,340.242124548,Candidate CPI 2017 from World Bank WDI FP.CPI.TOTL.
candidate_cpi_ratio_2017_to_2004,6.11673829608,Annual CPI bridge candidate; not accepted as final.
median_excluding_oop_2017_ppp_private_candidate,1.03044759734,Converted median using candidate annual CPI bridge and private consumption PPP.
candidate_relative_spl_2017_ppp,1.66522379867,Relative SPL candidate from the current official formula.
candidate_spl_2017_ppp,2.15,Candidate SPL after max with the 2017 IPL.
candidate_spl_daily_raw_2004_mwk,87.5590037117,Candidate SPL converted back to real 2004 MWK per person per day.
private_consumption_ppp_source_verified,1,"World Bank API value captured, but concept still needs final acceptance."
annual_cpi_bridge_source_verified,1,"World Bank CPI values captured, but annual bridge remains candidate."
external_parameter_bridge_accepted,0,PPP/CPI bridge is not accepted for final SDG 3.8.2 classification.
sdg382_ready,0,External parameter source ledger does not open the SDG 3.8.2 gate.
data_write_gate_status,closed,This artifact writes no promoted household-level data.
modeling_gate_status,blocked,"No predictive, reduced-form, causal ML, or policy learning is opened."
