metric,value,interpretation
priority_lsms_local_stray_raw_locator_dataset_rows,10,Current manual-download minimum-batch rows covered by the locator route plan.
priority_lsms_local_stray_raw_locator_scanned_file_rows,4881,Filesystem file rows seen under the bounded search roots before suffix filtering.
priority_lsms_local_stray_raw_locator_considered_file_rows,1353,Candidate suffix files considered for raw/documentation/package matching.
priority_lsms_local_stray_raw_locator_candidate_file_rows,0,"Local candidate files matching expected core/full names, archive members, or strong IDNO/catalog archive-name tokens."
priority_lsms_local_stray_raw_locator_matched_idno_rows,0,Manual-download packet rows with at least one candidate local file outside the normal receipt gate.
priority_lsms_local_stray_raw_locator_route_plan_rows,10,One route-plan row per current minimum-batch manual packet.
priority_lsms_local_stray_raw_locator_outside_target_candidate_rows,0,Candidate files outside the correct target folder and outside _incoming.
priority_lsms_local_stray_raw_locator_incoming_candidate_rows,0,Candidate files already staged under temp/raw_downloads/_incoming.
priority_lsms_local_stray_raw_locator_already_target_candidate_rows,0,Candidate files already inside the expected target folder.
priority_lsms_local_stray_raw_locator_direct_expected_match_rows,0,Candidates whose filename directly matches an expected file name.
priority_lsms_local_stray_raw_locator_archive_member_match_rows,0,Candidates whose readable archive member list matches expected file names.
priority_lsms_local_stray_raw_locator_core_expected_match_rows,0,Candidates matching at least one priority core expected file.
priority_lsms_local_stray_raw_locator_weak_archive_name_rows,0,Archive-name-only matches using IDNO or catalog tokens; these require extra manual scrutiny.
priority_lsms_local_stray_raw_locator_unreadable_directory_rows,22,Skipped directory rows from explicit skip rules or inaccessible walk locations.
priority_lsms_local_stray_raw_locator_unreadable_archive_rows,0,Candidate archive files whose members could not be listed.
priority_lsms_local_stray_raw_locator_data_write_status,blocked_no_data_write,"The locator does not copy, extract, harmonize, or write promoted data."
priority_lsms_local_stray_raw_locator_raw_promotion_status,blocked_no_local_stray_raw_package_found,"Raw packages remain unaccepted until the normal receipt, schema, value, semantics, timing/geography, and climate-linkage gates pass."
modeling_gate_status,blocked,"No predictive, reduced-form, causal ML, or policy learning until registry thresholds pass."
