metric,value,interpretation
priority_credentialed_acquisition_dataset_rows,13,Priority and backup datasets with credentialed raw-acquisition instructions.
priority_credentialed_acquisition_priority_batch_rows,10,Immediate priority waves in the credentialed acquisition ledger.
priority_credentialed_acquisition_backup_rows,3,Backup sixth-country waves in the credentialed acquisition ledger.
priority_credentialed_acquisition_full_file_rows,965,Official metadata file rows carried into the download review manifest.
priority_credentialed_acquisition_core_file_rows,156,Priority core file/module rows to confirm after official download.
priority_credentialed_acquisition_public_documentation_ready_rows,13,Datasets with complete public documentation receipt before raw acquisition.
priority_credentialed_acquisition_official_metadata_ready_rows,13,Datasets with official DDI/XML metadata evidence before raw acquisition.
priority_credentialed_acquisition_original_package_receipt_rows,0,Datasets with any original raw/package files already received.
priority_credentialed_acquisition_targets_missing_before_download,156,Priority target files still missing before credentialed download.
priority_credentialed_acquisition_handoff_readmes_written,13,Per-wave credentialed raw acquisition handoff README files written.
modeling_gate_status,blocked,Credentialed acquisition instructions do not satisfy raw value verification or climate-linkage promotion gates.
priority_credentialed_acquisition_status_ready_for_credentialed_manual_download,13,Credentialed acquisition status count.
