acquisition_batch_rank,batch_role,country,survey_name,wave,idno,concept,required_for,is_financial_core,is_double_failure_core,is_design_core,metadata_support_status,high_confidence_rows,moderate_confidence_rows,candidate_files,candidate_variables,minimum_raw_evidence_needed,verification_action,raw_file_status,raw_variable_status,current_concept_gate,fill_raw_file_used,fill_raw_variable_used,fill_value_label_pass,fill_unit_or_recall_pass,fill_merge_key_pass,fill_sample_level_pass,fill_missing_code_pass,fill_promote_to_harmonization_recipe,review_notes
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,0,1,0,metadata_supported_raw_unverified,16,1,sect04_com_w5.dta;sect3_hh_w5.dta;sect8_3_ls_w5.dta,cs4q28;cs4q30;cs4q37;s3q10a;s3q10b;s3q11;s3q12a;s3q12b;s3q13;s3q16;s3q17;s3q18;ls_s8_3q23;ls_s8_3q24,care-seeking or reason/barrier for not seeking care,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,1,0,1,metadata_supported_raw_unverified,112,4,cons_agg_w5.dta;eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta;sect01a_com_w5.dta;sect01b_com_w5.dta;sect02_com_w5.dta;sect03_com_w5.dta;sect04_com_w5.dta;sect05_com_w5.dta;sect06_com_w5.dta,saq01;cropshare;dist_admhq;landcov;lat_dd_mod;lon_dd_mod;pct_urban_center;pct_urban_cluster;ssa_aez09;suppress;twi_ne;cs10q05__Accuracy;cs10q05__Altitude;cs10q05__Latitude;cs10q05__Longitude;cs10q05__Timestamp,"admin geography, cluster, or GPS quality sufficient for climate linkage","inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,0,0,0,metadata_supported_raw_unverified,41,7,cons_agg_w5.dta;sect02_com_w5.dta;sect04_com_w5.dta;sect05_com_w5.dta;sect10a_hh_w5.dta;sect11_com_w5.dta;sect12e_hh_w5.dta;sect1_hh_w5.dta;sect1_ph_w5.dta;sect1_pp_w5.dta,educ_cons_ann;hh_size;nom_educcons_aeq;cs2q03;cs2q07;cs4q59a;cs4q59b;cs5q10;cs5q11;s10aq39;cs11q16_1;cs11q16_2;s12eq06a;s12eq06b;s12eq06c;s1q01,age/sex/education/household structure/assets for adjustment and heterogeneity,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,health_need,double_failure_sample,0,1,0,metadata_supported_raw_unverified,9,0,sect3_hh_w5.dta,s3q05;s3q06_1;s3q06_2;s3q06_os;s3q07;s3q09a;s3q09b;s3q10a;s3q10b,"illness, injury, symptom, or other health-need denominator","inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,household_id,harmonization,0,0,1,metadata_supported_raw_unverified,50,0,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta;sect10_ph_w5.dta;sect10a_hh_w5.dta;sect11_hh_w5.dta;sect11_ph_w5.dta;sect12a_hh_w5.dta;sect12b1_hh_w5.dta;sect12b2_hh_w5.dta;sect12c_hh_w5.dta,household_id;saq08,household identifier available for module merges,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,insurance,covariates_and_subgroups,0,0,0,metadata_supported_raw_unverified,1,0,sect3_hh_w5.dta,s3q19,"insurance or coverage variable, if available","inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,oop_health_expenditure,main_financial_sample,1,0,0,metadata_supported_raw_unverified,1,21,sect3_hh_w5.dta;sect8_3_ls_w5.dta,s3q18;ls_s8_3q04;ls_s8_3q06;ls_s8_3q10a;ls_s8_3q10b;ls_s8_3q11;ls_s8_3q12_1;ls_s8_3q12_2;ls_s8_3q14;ls_s8_3q17_1;ls_s8_3q17_10;ls_s8_3q17_11;ls_s8_3q17_2;ls_s8_3q17_3;ls_s8_3q17_4;ls_s8_3q17_5,out-of-pocket health spending amount with unit and recall period,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,psu_cluster,survey_design_robustness,0,0,1,metadata_supported_raw_unverified,129,0,cons_agg_w5.dta;eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta;sect01a_com_w5.dta;sect01b_com_w5.dta;sect02_com_w5.dta;sect03_com_w5.dta;sect04_com_w5.dta;sect05_com_w5.dta;sect06_com_w5.dta,ea_id;pct_urban_cluster;saq07;s7q37,"PSU, cluster, or enumeration area identifier for variance/clustering","inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,shocks_or_livelihood,mechanisms_and_heterogeneity,0,0,0,metadata_supported_raw_unverified,62,377,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta;sect06_com_w5.dta;sect12e_hh_w5.dta;sect15a_hh_w5.dta;sect15b_hh_w5.dta;sect3_pp_w5.dta;sect5_pp_w5.dta;sect5a_hh_w5.dta;sect7_pp_w5.dta,anntot_avg;h2021_tot;h2021_wetQ;wetQ_avg;cs6q17c;cs6q18c;s12eq01;s12eq04;s15q01;s15q11;s15q13;s15q14;s15q15_1;s15q15_2;s15q16;s15q17,"shock, agriculture/livelihood, coping, or food-insecurity variable","inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,strata,survey_design_robustness,0,0,1,metadata_supported_raw_unverified,5,0,sect8_3_ls_w5.dta;sect9_hh_w5.dta,ls_s8_3q01;ls_s8_3q02;s9q04_1;s9q04_2;s9q04_3,strata identifier if survey design requires it,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
