gate_id,field_family,required_for,candidate_fields,candidate_rows,complete_rows,partial_rows,missing_rows,observed_coverage_rate,candidate_status,promotion_ready_rows,blocking_reason,next_action
identity_keys,identity,harmonized_household,country;survey_name;wave;idno;hhid,3599,3599,0,0,1,candidate_complete,0,,Preserve one-row-per-household key checks in any promoted dataset.
survey_design,weights_design,weighted_descriptive_and_modeling,household_weight;strata;psu,3599,3599,0,0,1,candidate_complete_not_promoted,0,Weight/design semantics and variance-use rules still need acceptance.,"Finalize household weight normalization, target population, strata/PSU variance guidance, and survey-design reporting."
interview_timing,timing,climate_linkage,survey_month;interview_date,3599,3599,0,0,1,candidate_complete_not_promoted,0,"Timing values are observed, but exposure-window rules still need climate-linkage review.",Document accepted exposure windows and seasonality controls before climate extraction.
admin_geography,admin_geography,climate_linkage,admin2;admin2_code;cluster_id,3599,3599,0,0,1,candidate_complete_not_promoted,0,Admin geography is observed but no verified 2001/2002 district boundary or coordinates are accepted.,Resolve district-boundary provenance/crosswalk or obtain GPS/EA-map evidence before climate linkage.
point_coordinates,coordinates,climate_linkage,latitude;longitude,3599,0,0,3599,0,missing,0,No raw coordinate values are present in the local ALB_2002 artifacts.,"Use only verified admin geography, or obtain official coordinate/EA-map artifacts."
demographics,covariates,descriptive_ml_modeling,household_size;children_under5;children_under15;elderly_60plus;head_sex;head_age,3599,3599,0,0,1,candidate_complete_not_promoted,0,Covariates are visible but require final harmonization lineage acceptance.,Carry lineage into a promoted harmonized recipe only after outcome and climate gates pass.
consumption_denominator,financial_denominator,CHE10_CHE25_SDG382,total_consumption_monthly_candidate,3599,3599,0,0,1,candidate_complete_not_promoted,0,"Total-budget candidate is observed, but SDG 3.8.2 discretionary-budget and benchmark inputs remain unresolved.",Resolve SPL/PPP/CPI/discretionary-budget and benchmark comparisons.
oop_outcomes,financial_outcomes,household_outcomes,oop_health_expenditure_monthly_candidate;oop_share_total_budget_candidate;che10_total_budget_candidate;che25_total_budget_candidate,3599,3599,0,0,1,candidate_complete_not_promoted,0,"CHE outcomes are temp-only mixed-recall candidates, not final promoted outcomes.","Accept numerator scope, mixed-recall handling, gift/payment policy, and external benchmark checks before writing data/household_outcomes.csv."
access_outcomes,access_outcomes,household_outcomes,illness_or_injury_need_candidate;delayed_or_unmet_care_candidate;forgone_care_cost_barrier_candidate;forgone_care_distance_barrier_candidate,3599,3599,0,0,1,candidate_complete_not_promoted,0,Access/need indicators are candidate composites with unresolved denominator and skip-path semantics.,Finalize access/need denominator policy and low-event handling before promotion.
composite_uhc,composite_outcomes,household_outcomes,uhc_double_failure_che10_or_access_candidate;uhc_double_failure_che25_or_access_candidate,3599,3599,0,0,1,candidate_complete_not_promoted,0,Composite outcomes combine two unpromoted candidate families.,Promote only after both financial and access outcome gates pass.
harmonized_dataset_promotion,promotion,data/harmonized_household.csv,hhid,3599,3599,0,0,1,blocked,0,"This joined ALB_2002 candidate assembles household core, weights, timing, admin geography, access signals, and temp-only CHE10/CHE25 candidates, but it remains outside data/ because the harmonization recipe, final outcome promotion, SDG 3.8.2 denominator, benchmark comparison, and climate-geography gates have not passed.","Do not write to data/ until minimum recipe, outcome, SDG/benchmark, and climate-geography gates pass."
climate_dataset_promotion,promotion,data/climate_linked_household.csv,admin2;survey_month;interview_date,3599,3599,0,0,1,blocked,0,"This joined ALB_2002 candidate assembles household core, weights, timing, admin geography, access signals, and temp-only CHE10/CHE25 candidates, but it remains outside data/ because the harmonization recipe, final outcome promotion, SDG 3.8.2 denominator, benchmark comparison, and climate-geography gates have not passed.",Construct climate linkage only after verified geography and exposure-window rules pass.
