country,wave,idno,policy_component,candidate_rule,raw_variables,aggregate_count,denominator_rule,double_count_rule,skip_exception_rule,acceptance_status,remaining_blocker
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,analytic_person_universe,Keep health rows with case_id+memid present in ihs2_individ.dta; do not export raw IDs.,case_id;memid,51286,Roster-matched sec_d person rows.,One row per case_id+memid in sec_d; unresolved duplicate policy if future waves differ.,"Nonroster health rows remain excluded only as a candidate policy, not final acceptance.",candidate_policy_ready_exception_documentation_pending,Need formal exception policy for 6 nonroster health rows and 2 roster-only health absences.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,acute_need_denominator,Recent illness/injury need equals d04==Yes among roster-matched health rows.,d04,14143,Roster-matched health rows with d04==Yes.,One person-row counted once even if two illness problems/actions are listed.,d07a/d07b values outside d04==Yes remain skip exceptions and are not included.,candidate_policy_ready_skip_exception_pending,Need accepted rule for 6 d07a skip-leakage rows outside d04==Yes.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,financial_barrier_forgone_care,"Financial access failure candidate equals any d07a/d07b value labeled Did nothing, no money among acute-need rows.",d04;d07a;d07b,631,Roster-matched d04==Yes rows.,"Use row-level any(d07a==2, d07b==2), so a person is counted once.",Ignore d07a/d07b outside d04==Yes unless a final skip-repair rule is accepted.,candidate_policy_ready_double_count_policy_pending,Need final double-count and missing-action policy before access outcome promotion.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,nonfinancial_no_action_context,"Nonfinancial no-action context equals any d07a/d07b value labeled Did nothing, not serious among acute-need rows.",d04;d07a;d07b,1325,Roster-matched d04==Yes rows.,"Use row-level any(d07a==1, d07b==1).",Do not treat as financial access failure without no-money label.,candidate_context_policy_ready,Need final decision whether this remains context only or becomes nonfinancial access barrier.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,formal_care_core,Core formal care equals government or private health facility in d07a/d07b among acute-need rows.,d04;d07a;d07b,5130,Roster-matched d04==Yes rows.,"Use row-level any(d07a/d07b in {government facility, private facility}).",Exclude church/mission facility from core but include in sensitivity.,candidate_policy_ready_provider_grouping_pending,"Need accepted provider grouping for church/mission facility, pharmacy, and traditional healer."
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,formal_care_extended_sensitivity,Extended formal care adds church/mission facility to government/private facilities.,d04;d07a;d07b,5593,Roster-matched d04==Yes rows.,"Use row-level any(d07a/d07b in {government, private, church/mission facility}).",Sensitivity only until provider grouping is accepted.,candidate_sensitivity_policy_ready,Need final provider grouping decision.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,informal_or_self_care_context,"Informal/self-care context includes medicine in stock, grocery medicine, traditional healer, and faith healer among acute-need rows.",d04;d07a;d07b,6282,Roster-matched d04==Yes rows.,Use row-level any matching informal/self-care labels.,Context/sensitivity only until provider grouping is accepted.,candidate_context_policy_ready,Need final formal/informal grouping decision.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,hospitalization_coping_context,Hospitalization cost-coping context equals d15==Yes and d17==Yes.,d15;d17,458,Roster-matched d15==Yes rows.,One person-row counted once.,d17 skip leakage outside d15==Yes is zero in current audit.,candidate_context_policy_ready,"Need final decision whether coping is context, mechanism, or severity outcome."
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,traditional_healer_coping_context,Traditional-healer cost-coping context equals d18==Yes and d20==Yes.,d18;d20,185,Roster-matched d18==Yes rows.,One person-row counted once.,d20 skip leakage outside d18==Yes is zero in current audit.,candidate_context_policy_ready,"Need final decision whether traditional-healer care is access, informal care, or context only."
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,chronic_need_context,Chronic need context equals d26==Yes among roster-matched health rows.,d26,4918,Roster-matched health rows with d26==Yes.,One person-row counted once.,"Used as chronic-need context, not acute forgone-care denominator by default.",candidate_context_policy_ready,Need final decision whether chronic need enters double-failure denominator.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,documented_skip_exceptions,Document skip exceptions without repairing raw values: d07a leakage outside d04==Yes remains excluded and flagged.,d04;d07a;d07b;d15;d17;d18;d20,6,Not an outcome denominator.,No person-level outcome is created from skip-exception rows.,d07a leakage is separate from nonroster rows and must be reported as an active blocker.,blocking_exception_policy_required,Need accepted skip-leakage exclusion/repair rule before health/access final verification.
