metric,value,interpretation
alb2002_che_candidate_household_rows,3599,Temp-only ALB_2002 household CHE candidate rows.
alb2002_che_candidate_denominator_rows,3599,Rows with positive monthly total-budget candidate denominator.
alb2002_che_candidate_missing_rows,0,Rows missing the candidate denominator.
alb2002_che_candidate_positive_oop_rows,3038,Rows with positive period-aligned combined OOP candidate.
alb2002_che_candidate_positive_oop_weighted_rate,0.852605,Weighted positive-OOP rate using current weight evidence.
alb2002_che_candidate_che10_rows,824,Rows with candidate CHE10 under the period-aligned combined OOP policy.
alb2002_che_candidate_che10_rate,0.228952,Unweighted candidate CHE10 rate.
alb2002_che_candidate_che10_weighted_rate,0.23666,Weighted candidate CHE10 rate.
alb2002_che_candidate_che25_rows,290,Rows with candidate CHE25 under the period-aligned combined OOP policy.
alb2002_che_candidate_che25_rate,0.0805779,Unweighted candidate CHE25 rate.
alb2002_che_candidate_che25_weighted_rate,0.0859036,Weighted candidate CHE25 rate.
alb2002_che_candidate_period_policy_rows,3,Period-aligned policy rows consumed upstream.
alb2002_che_candidate_weight_positive_rows,3599,Positive household-weight rows consumed upstream.
alb2002_che_candidate_weighted_inference_ready_rows,0,Rows ready for promoted weighted inference; should remain zero.
alb2002_che_candidate_minimum_recipe_harmonized_ready_rows,0,Rows ready for harmonized data promotion upstream; should remain zero.
alb2002_che_candidate_minimum_recipe_outcome_ready_rows,0,Rows ready for outcome promotion upstream; should remain zero.
alb2002_che_candidate_climate_linkage_ready_rows,0,Rows ready for climate linkage; should remain zero until geography is verified.
alb2002_che_candidate_outcome_promotion_ready_rows,0,Rows ready for final household outcome promotion; intentionally zero.
alb2002_che_candidate_current_decision,blocked_alb2002_che_candidate_not_promoted_due_recipe_sdg_climate_gates,Current fail-closed CHE candidate outcome decision.
