metric,value,interpretation
alb2002_minimum_recipe_promotion_action_rows,6,Action rows needed before ALB_2002 can become a minimum harmonized household dataset.
alb2002_minimum_recipe_promotion_gate_rows,10,"Pass/fail promotion gates for ALB_2002 harmonization, outcome, and climate linkage."
alb2002_minimum_recipe_promotion_blocked_gates,7,Promotion gates still blocked.
alb2002_minimum_recipe_promotion_candidate_gates,3,Gates with candidate evidence that still needs acceptance review.
alb2002_minimum_recipe_promotion_weight_design_audit_rows,6,ALB_2002 weight/design evidence audit rows observed upstream.
alb2002_minimum_recipe_promotion_weight_design_source_flag_rows,9,Official source-context flags detected by the ALB_2002 weight/design audit.
alb2002_minimum_recipe_promotion_weight_design_positive_weight_rows,3599,ALB_2002 positive household-weight rows observed in the readable weight file.
alb2002_minimum_recipe_promotion_weight_design_key_match_rows,3599,ALB_2002 readable weight-file keys matching the temp household core.
alb2002_minimum_recipe_promotion_weight_design_distinct_psu_rows,450,ALB_2002 distinct PSU values observed in the readable weight file.
alb2002_minimum_recipe_promotion_weight_design_distinct_stratum_rows,4,ALB_2002 distinct strata observed in the readable weight file.
alb2002_minimum_recipe_promotion_weight_design_weighted_inference_ready_rows,0,ALB_2002 rows ready for promoted weighted inference; intentionally zero.
alb2002_minimum_recipe_promotion_weight_design_harmonized_ready_rows,0,ALB_2002 rows ready for harmonized promotion after weight/design audit; intentionally zero.
alb2002_minimum_recipe_promotion_weight_design_decision,blocked_alb2002_weight_design_semantics_not_promotion_ready,Current ALB_2002 weight/design fail-closed decision observed by the minimum recipe packet.
alb2002_minimum_recipe_promotion_sample_design_pdf_pages,66,Pages extracted from the ALB_2002 Basic Information PDF sample-design source.
alb2002_minimum_recipe_promotion_sample_design_official_design_rows,1,Official 450 PSU by 8 household sample-design evidence observed upstream.
alb2002_minimum_recipe_promotion_sample_design_official_final_rows,1,"Official 3,599 final household sample-size evidence observed upstream."
alb2002_minimum_recipe_promotion_sample_design_raw_concordance_rows,1,Raw weight and candidate counts concordant with the official sample-design evidence.
alb2002_minimum_recipe_promotion_sample_design_documentation_ready_rows,1,ALB_2002 sample-design documentation evidence ready; not a data-promotion gate pass.
alb2002_minimum_recipe_promotion_sample_design_weighted_inference_ready_rows,0,ALB_2002 rows ready for promoted weighted inference after sample-design audit; intentionally zero.
alb2002_minimum_recipe_promotion_sample_design_decision,candidate_alb2002_sample_design_documented_not_promoted_due_downstream_gates,Current ALB_2002 sample-design documentation decision observed by the minimum recipe packet.
alb2002_minimum_recipe_promotion_oop_policy_rows,11,ALB_2002 OOP aggregation policy stress-test rows observed upstream.
alb2002_minimum_recipe_promotion_oop_policy_outcome_ready_rows,0,ALB_2002 OOP policy rows ready for outcome promotion; intentionally zero.
alb2002_minimum_recipe_promotion_oop_policy_sdg382_ready_rows,0,ALB_2002 OOP policy rows ready for SDG 3.8.2 promotion; intentionally zero.
alb2002_minimum_recipe_promotion_period_aligned_che_policy_rows,3,ALB_2002 period-aligned CHE stress-test policy rows observed upstream.
alb2002_minimum_recipe_promotion_period_aligned_che_denominator_rows,3599,ALB_2002 rows with a positive monthly total-budget denominator in the period-aligned CHE audit.
alb2002_minimum_recipe_promotion_period_aligned_che_period_ready_rows,3,"ALB_2002 period-aligned CHE policies with denominator, zero-skip, and period-alignment checks passing for stress testing."
alb2002_minimum_recipe_promotion_period_aligned_che_combined_che10_rate,0.228952,Combined monthly-equivalent CHE10 stress-test rate; not a final outcome.
alb2002_minimum_recipe_promotion_period_aligned_che_combined_che25_rate,0.0805779,Combined monthly-equivalent CHE25 stress-test rate; not a final outcome.
alb2002_minimum_recipe_promotion_period_aligned_che_outcome_ready_rows,0,ALB_2002 period-aligned CHE rows ready for outcome promotion; intentionally zero.
alb2002_minimum_recipe_promotion_period_aligned_che_recipe_ready_rows,0,ALB_2002 period-aligned CHE rows ready for recipe promotion; intentionally zero.
alb2002_minimum_recipe_promotion_period_aligned_che_sdg382_ready_rows,0,ALB_2002 period-aligned CHE rows ready for SDG 3.8.2 promotion; intentionally zero.
alb2002_minimum_recipe_promotion_period_aligned_che_climate_ready_rows,0,ALB_2002 period-aligned CHE rows ready for climate linkage; intentionally zero.
alb2002_minimum_recipe_promotion_period_aligned_che_decision,blocked_alb2002_period_aligned_che_policy_not_outcome_ready,Current ALB_2002 period-aligned CHE fail-closed decision observed by the minimum recipe packet.
alb2002_minimum_recipe_promotion_skip_missing_rows,12,ALB_2002 skip/missing semantics audit rows observed upstream.
alb2002_minimum_recipe_promotion_skip_positive_rows,0,ALB_2002 positive skipped-payment rows observed upstream; should remain zero.
alb2002_minimum_recipe_promotion_skip_zero_cells,11,ALB_2002 zero-only skipped-payment cells observed upstream.
alb2002_minimum_recipe_promotion_skip_outcome_ready_rows,0,ALB_2002 skip/missing rows ready for outcome promotion; intentionally zero.
alb2002_minimum_recipe_promotion_oop_skip_value_decision_rows,5,ALB_2002 OOP skip-value decision audit rows observed upstream.
alb2002_minimum_recipe_promotion_oop_skip_value_zero_ready_rows,4,ALB_2002 skip-value rows supporting the no-positive-leakage skipped-payment decision.
alb2002_minimum_recipe_promotion_oop_skip_value_positive_rows,0,ALB_2002 positive skipped-payment rows after the skip-value decision; should remain zero.
alb2002_minimum_recipe_promotion_oop_skip_value_positive_cells,0,ALB_2002 positive skipped-payment cells after the skip-value decision; should remain zero.
alb2002_minimum_recipe_promotion_oop_skip_value_recall_ready_rows,0,ALB_2002 OOP recall-scope rows accepted by the skip-value audit; intentionally zero.
