metric,value,interpretation
priority_country_wave_packet_rows,13,Priority and backup country-wave promotion packets built.
priority_country_wave_packet_priority_batch_rows,10,Immediate priority wave packets.
priority_country_wave_packet_backup_rows,3,Sixth-country backup wave packets.
priority_country_wave_packet_gate_rows,156,Gate rows across priority promotion packets.
priority_country_wave_packet_passed_gate_rows,26,Packet gates currently passing.
priority_country_wave_packet_failed_gate_rows,130,Packet gates still blocking promotion.
priority_country_wave_packet_public_documentation_ready_rows,13,Packets with complete core public documentation receipt.
priority_country_wave_packet_official_metadata_ready_rows,13,Packets with official DDI/XML variable evidence extracted.
priority_country_wave_packet_raw_package_ready_rows,0,Packets with a non-empty original raw package receipt.
priority_country_wave_packet_financial_ready_rows,0,Packets ready for financial-protection outcomes.
priority_country_wave_packet_access_ready_rows,0,Packets ready for access/forgone-care outcomes.
priority_country_wave_packet_climate_ready_rows,0,Packets with accepted CHIRPS/ERA5 climate-linkage route.
priority_country_wave_packet_analysis_ready_rows,0,Packets ready for promoted data writes.
priority_country_wave_packet_action_rows,13,Next blocking actions across packets.
priority_country_wave_packet_reports_written,13,Per-wave packet markdown reports written.
priority_country_wave_packet_handoffs_written,13,Per-wave raw-folder packet handoffs written.
modeling_gate_status,blocked,Models remain blocked until promoted registry thresholds and accepted climate linkage pass.
priority_country_wave_packet_status_blocked_fail_closed,13,Packet status count.
priority_country_wave_packet_next_action_download_or_place_complete_original_raw_package,13,Next blocking action count.
