batch_rank,idno,country,wave,file_name,target_reasons,source_fields,module_priority_role,candidate_categories,candidate_harmonized_variables,candidate_variable_count,candidate_raw_variables_examples,expected_file_status,present_matching_files,verification_action
1,ALB_2005_LSMS_v01_M,Albania,2005,poverty,financial core file;geography/timing/design file;top metadata-supported module to inspect first,financial_core_expected_files;geography_timing_design_expected_files;top_modules_to_verify_first,core_main_sample_module_candidate,consumption;demographics;geography;survey_design,admin1_or_admin2;asset_index_or_asset_variable;education;food_consumption;hhid;household_size;household_weight_or_person_weight;nonfood_consumption;psu_or_cluster_id;rural;strata;total_consumption_or_income,19,food;nfood05;nfoodc;totcons;totcons05;area;m0_ur;region;hhid;m0_stratum,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania,2005,healthA_cl,financial core file;top metadata-supported module to inspect first,financial_core_expected_files;top_modules_to_verify_first,core_main_sample_module_candidate,demographics;health_expenditure;health_need_access;shocks;survey_design,age;hhid;illness_or_injury_need;oop_health_expenditure;psu_or_cluster_id;reason_not_sought_distance;shock_module_variable,49,m9a_q16;m9a_q20;m9a_q22;m9a_q23;m9a_q28;m9a_q32;m9a_q34;m9a_q35;m9a_q38;m9a_q41;m9a_q42;m9a_q43,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania,2005,agriculture_hhlevel,geography/timing/design file;top metadata-supported module to inspect first,geography_timing_design_expected_files;top_modules_to_verify_first,core_main_sample_module_candidate,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;asset_index_or_asset_variable;coping_borrowed;hhid;household_weight_or_person_weight;psu_or_cluster_id;reason_not_sought_cost;reason_not_sought_distance;rural;strata,91,fallow_expmachines;fallow_expseeds;fallow_toofar;cropland_b;distcode;districtmarket_cropsold;districtmarket_treesold;fallow_b;hhplots_b;ilandcul_b;ilandlen_b;irrigated_b,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania,2005,identification_cl,geography/timing/design file,geography_timing_design_expected_files,core_main_sample_module_candidate,geography;survey_design,admin1_or_admin2;hhid;interview_date_or_survey_month;psu_or_cluster_id;rural;strata,9,m0_q1a;m0_q1b;m0_ur;hhid;m0_q00;m0_q01;m0_q8m;m0_stratum;oversample,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania,2005,community_all,top metadata-supported module to inspect first,top_modules_to_verify_first,core_main_sample_module_candidate,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;age;agriculture_livelihood;asset_index_or_asset_variable;care_not_sought_reason;coping_borrowed;education;interview_date_or_survey_month;pid;psu_or_cluster_id;reason_not_sought_distance;rural;sex,135,m06q05;m2_q05_1;m2_q05_2;m2_q05_3;m2_q05_4;m2_q05_5;m2_q05_6;m3a02_01;m3a02_02;m3a02_03;m3a02_04;m3a02_05,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania,2005,community_dups,top metadata-supported module to inspect first,top_modules_to_verify_first,core_main_sample_module_candidate,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;age;agriculture_livelihood;asset_index_or_asset_variable;care_not_sought_reason;coping_borrowed;education;interview_date_or_survey_month;pid;psu_or_cluster_id;reason_not_sought_distance;rural;sex,135,m06q05;m2_q05_1;m2_q05_2;m2_q05_3;m2_q05_4;m2_q05_5;m2_q05_6;m3a02_01;m3a02_02;m3a02_03;m3a02_04;m3a02_05,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania,2005,dwellingA_cl,top metadata-supported module to inspect first,top_modules_to_verify_first,core_main_sample_module_candidate,demographics;health_need_access;shocks;survey_design,asset_index_or_asset_variable;hhid;psu_or_cluster_id;reason_not_sought_cost;reason_not_sought_distance;shock_module_variable,31,m13a_q13a;m13a_q13b;m13a_q13c;m13a_q34b;m13a_q34e;hhid;m0_q00;m0_q01;m13a_q01;m13a_q04;m13a_q06;m13a_q07,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania,2005,dwellingB_cl,top metadata-supported module to inspect first,top_modules_to_verify_first,core_main_sample_module_candidate,demographics;health_need_access;shocks;survey_design,asset_index_or_asset_variable;care_not_sought_reason;hhid;psu_or_cluster_id;reason_not_sought_distance;shock_module_variable,26,m13b_q04;m13b_q08;m13b_q09;m13b_q26;hhid;m0_q00;m0_q01;m13b_q03;m13b_q12a;m13b_q12b;m13b_q12c;m13b_q12d,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania,2005,educationB_cl,top metadata-supported module to inspect first,top_modules_to_verify_first,core_main_sample_module_candidate,demographics;health_need_access;survey_design,age;asset_index_or_asset_variable;care_not_sought_reason;education;hhid;psu_or_cluster_id;reason_not_sought_distance,16,m2b_q10;m2b_q20;m2b_q22;m2b_q23;m2b_q24;m2b_q25;hhid;m0_q00;m0_q01;m2b_q05;m2b_q12,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania,2005,fertility_cl,top metadata-supported module to inspect first,top_modules_to_verify_first,core_main_sample_module_candidate,demographics;health_need_access;survey_design,age;care_not_sought_reason;care_sought;hhid;household_weight_or_person_weight;pid;psu_or_cluster_id,15,m10_q06;m10_q07;m10_q08;m10_q10a;m10_q10b;hhid;m0_q00;m0_q01;m10_q00;m10_q13a;m10_q13b,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
