idea,variable,in_current_parquet,in_metadata_registry,years_present,description
aca_ptc_400_fpl_cliff,TFINCPOV,True,True,2018;2019;2020;2021;2022;2023;2024,"Family income-to-poverty ratio in this month, excluding Type 2 individuals"
aca_ptc_400_fpl_cliff,RHLTHMTH,True,True,2018;2019;2020;2021;2022;2023;2024,Recode - indicating respondent is insured (private or public coverage) in month (New as of 2014 Panel)
aca_ptc_400_fpl_cliff,RPRITYPE2,True,True,2018;2019;2020;2021;2022;2023;2024,Recode - Monthly Direct-Purchase Private Coverage (includes school-based coverage) (New as of 2014 Panel)
aca_ptc_400_fpl_cliff,RMARKTPLACE,True,True,2018;2019;2020;2021;2022;2023;2024,"Monthly recode - indicates private direct purchase, Medicaid/Medical Assistance, or other coverage obtained through healthcare.gov or a state-based marketplace/exchange."
aca_ptc_400_fpl_cliff,EPRIEXCH1,True,True,2018;2019;2020;2021;2022;2023;2024,Did respondent have coverage through a state-based Health Insurance Exchange?
aca_ptc_400_fpl_cliff,EPRISUBS1,True,True,2018;2019;2020;2021;2022;2023;2024,Determines if Exchange premium was subsidized
aca_ptc_400_fpl_cliff,TAGE,True,True,2018;2019;2020;2021;2022;2023;2024,Age as of last birthday
aca_ptc_400_fpl_cliff,state_fips,True,False,,
family_glitch_fix,RPRITYPE2,True,True,2018;2019;2020;2021;2022;2023;2024,Recode - Monthly Direct-Purchase Private Coverage (includes school-based coverage) (New as of 2014 Panel)
family_glitch_fix,RMARKTPLACE,True,True,2018;2019;2020;2021;2022;2023;2024,"Monthly recode - indicates private direct purchase, Medicaid/Medical Assistance, or other coverage obtained through healthcare.gov or a state-based marketplace/exchange."
family_glitch_fix,RDIRECTANN,True,True,2022;2023;2024,Annual direct-purchase health insurance coverage recode
family_glitch_fix,EPNSPOUSE,True,True,2018;2019;2020;2021;2022;2023;2024,Person number of spouse
family_glitch_fix,person_id,True,False,,
family_glitch_fix,state_fips,True,False,,
family_glitch_fix,REMPLOYANN,False,True,2022;2023;2024,Annual employment-based health insurance coverage recode
family_glitch_fix,employer_offer_or_family_premium,False,False,,
arkansas_medicaid_work_requirements,state_fips,True,False,,
arkansas_medicaid_work_requirements,TAGE,True,True,2018;2019;2020;2021;2022;2023;2024,Age as of last birthday
